"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_00001",239,158,125,181,194,166,125,253,155,222,216,224
"1617.00_00002",286,149,161,112,218,280,174,268,192,233,184,189
"1617.00_00003",231,126,77,128,158,112,81,198,112,142,268,329
"1617.00_00004",180,63,73,68,112,74,61,117,74,87,183,215
"1617.00_00005",129,54,58,72,70,68,52,105,58,77,141,142
"1617.00_00006",136,64,46,93,72,69,77,100,73,91,149,163
"1617.00_00007",152,54,40,51,67,68,44,89,44,91,139,133
"1617.00_00008",119,33,51,83,83,79,65,139,68,87,151,157
"1617.00_00009",177,139,81,137,133,116,72,164,105,117,206,187
"1617.00_00010",1300,578,476,824,770,609,502,1071,597,764,1691,1964
"1617.00_00011",20,7,6,13,17,12,9,20,7,17,23,36
"1617.00_00012",155,66,48,80,66,68,52,104,49,83,154,154
"1617.00_00013",309,136,121,197,184,190,135,252,142,191,300,303
"1617.00_00014",121,41,54,52,57,61,69,102,68,84,127,182
"1617.00_00015",198,54,81,113,112,96,106,185,97,157,164,185
"1617.00_00016",245,58,44,114,106,107,70,152,96,154,202,186
"1617.00_00017",1147,507,445,673,752,647,582,1007,578,846,1064,1167
"1617.00_00018",184,100,79,110,105,107,92,168,101,130,154,188
"1617.00_00019",108,31,49,94,97,89,63,128,60,75,138,127
"1617.00_00020",826,169,193,119,392,355,228,523,349,493,159,164
"1617.00_00021",1215,401,302,217,545,399,328,698,427,685,351,384
"1617.00_00022",143,55,81,130,113,121,80,161,103,125,137,168
"1617.00_00023",2130,1583,905,1323,1592,1260,945,2163,1209,1854,1591,1442
"1617.00_00024",1249,848,452,695,818,717,558,1067,630,947,909,804
"1617.00_00025",248,77,70,164,150,157,112,228,116,189,226,212
"1617.00_00026",200,90,52,82,87,93,63,129,71,138,127,139
"1617.00_00027",263,177,118,163,189,196,170,240,185,219,194,199
"1617.00_00028",230,270,240,275,307,303,172,395,213,307,170,161
"1617.00_00029",496,201,460,781,688,636,432,885,460,551,617,624
"1617.00_00030",265,218,140,158,225,176,145,325,175,216,256,282
"1617.00_00031",156,68,75,126,120,95,61,131,76,125,190,224
"1617.00_00032",163,83,62,131,119,95,55,163,81,109,249,237
"1617.00_00033",201,118,118,200,199,133,129,218,154,191,291,288
"1617.00_00034",260,212,139,190,259,194,142,319,185,251,277,290
"1617.00_00035",31,27,38,37,47,33,25,55,30,42,47,58
"1617.00_00036",1647,585,414,668,776,554,529,1082,613,903,1821,2094
"1617.00_00037",2552,1661,928,1496,1635,1167,849,2112,1166,1718,2865,3133
"1617.00_00038",569,540,448,804,715,590,427,771,474,758,790,791
"1617.00_00039",393,416,186,296,290,244,194,396,198,298,457,419
"1617.00_00040",204,83,109,174,194,129,123,256,136,165,240,289
"1617.00_00041",305,153,195,125,291,259,175,375,215,288,162,159
"1617.00_00042",143,128,83,103,113,65,63,153,105,129,127,132
"1617.00_00043",481,188,133,145,268,152,105,347,177,320,342,363
"1617.00_00044",577,1134,640,1069,729,992,531,865,589,670,684,708
"1617.00_00045",4,15,11,11,11,11,13,9,7,14,17,20
"1617.00_00046",1977,667,491,848,847,825,658,1235,796,1094,1586,1593
"1617.00_00047",1881,533,357,643,585,599,515,919,569,855,1717,1785
"1617.00_00048",1690,399,301,521,478,531,484,777,422,693,1466,1655
"1617.00_00049",441,202,104,197,175,217,155,274,171,172,371,399
"1617.00_00050",747,170,176,311,285,299,284,451,224,351,777,917
"1617.00_00051",1484,507,534,771,791,839,873,1188,664,919,1568,1872
"1617.00_00052",680,273,261,372,358,407,374,545,309,446,617,792
"1617.00_00053",491,326,154,224,226,254,191,297,170,270,373,428
"1617.00_00054",427,161,142,224,183,222,192,272,186,231,390,481
"1617.00_00055",134,55,39,70,67,80,77,104,54,87,139,155
"1617.00_00056",858,250,362,625,510,609,557,757,401,580,927,1041
"1617.00_00057",779,209,260,551,395,487,440,604,328,512,864,905
"1617.00_00058",618,175,288,463,432,417,466,606,326,476,671,826
"1617.00_00059",48,120,52,49,75,59,34,95,58,71,39,34
"1617.00_00060",26,19,8,13,17,14,6,18,15,22,18,16
"1617.00_00061",87,297,84,104,139,102,68,141,97,113,87,81
"1617.00_00062",220,155,126,175,187,139,91,250,152,220,250,215
"1617.00_00063",491,425,189,319,332,294,194,413,260,335,368,365
"1617.00_00064",4084,4220,2575,5883,4659,3223,2300,5740,3522,4712,6784,6397
"1617.00_00065",795,253,295,412,485,565,391,670,383,522,821,848
"1617.00_00066",193,35,56,109,94,85,98,150,71,95,197,202
"1617.00_00067",74,19,20,36,39,53,43,52,38,49,77,85
"1617.00_00068",224,109,73,146,103,159,121,160,83,118,246,279
"1617.00_00069",132,21,37,58,59,66,87,89,44,78,114,142
"1617.00_00070",177,30,37,77,68,84,77,92,66,95,140,179
"1617.00_00071",478,885,360,447,529,545,391,677,337,498,393,345
"1617.00_00072",41,27,22,30,33,20,25,47,20,39,41,40
"1617.00_00073",55,27,22,52,45,35,29,50,32,40,55,49
"1617.00_00074",364,285,205,291,308,232,158,397,243,311,333,282
"1617.00_00075",199,51,62,77,103,86,77,155,79,122,190,197
"1617.00_00076",445,209,144,230,224,188,104,333,164,258,357,435
"1617.00_00077",153,63,49,77,73,61,36,82,53,64,165,133
"1617.00_00078",409,199,170,242,243,192,143,327,205,306,377,416
"1617.00_00079",54,67,62,44,73,55,48,97,91,118,50,35
"1617.00_00080",157,107,82,121,132,101,82,170,127,117,105,125
"1617.00_00081",33,39,31,31,44,32,18,68,29,45,45,40
"1617.00_00082",139,33,55,101,102,80,65,124,61,79,158,177
"1617.00_00083",8,7,4,3,6,7,6,7,6,0,2,3
"1617.00_00084",21,13,8,5,13,11,3,23,11,15,21,17
"1617.00_00085",13,11,4,9,6,10,4,9,13,10,16,10
"1617.00_00086",20,23,11,20,15,18,5,17,4,18,10,15
"1617.00_00087",29,26,16,21,23,17,10,25,25,27,29,20
"1617.00_00088",93,70,40,34,65,65,36,80,55,58,211,174
"1617.00_00089",69,41,48,46,48,36,41,67,30,34,113,138
"1617.00_00090",75,22,37,31,42,43,40,47,21,26,102,133
"1617.00_00091",676,468,339,510,556,440,386,600,321,424,1001,1086
"1617.00_00092",1821,3177,1802,2707,2820,2376,1705,2988,1867,2177,3388,3135
"1617.00_00093",26,158,61,108,44,69,41,71,45,56,39,31
"1617.00_00094",2,6,12,6,11,7,7,5,8,5,9,7
"1617.00_00095",41,37,22,34,48,40,24,47,28,35,34,35
"1617.00_00096",65,40,54,69,71,62,51,85,54,58,59,61
"1617.00_00097",532,212,233,361,424,337,245,549,284,444,521,461
"1617.00_00098",27,10,15,21,24,20,25,34,22,39,49,57
"1617.00_00099",779,461,272,408,503,344,286,682,392,576,803,828
"1617.00_00100",1135,451,306,411,519,336,310,752,421,678,1206,1393
"1617.00_00101",53,50,30,39,51,51,42,68,34,53,43,49
"1617.00_00102",102,43,34,42,64,39,32,69,48,61,101,128
"1617.00_00103",2204,896,629,984,1121,942,767,1637,943,1270,2369,2532
"1617.00_00104",20,18,18,24,23,28,24,53,24,28,18,23
"1617.00_00105",3,1,1,3,0,1,0,3,1,1,1,4
"1617.00_00106",8,11,10,15,18,6,6,16,9,21,18,17
"1617.00_00107",21,12,15,18,21,23,14,25,15,19,21,12
"1617.00_00108",5,7,5,9,9,14,2,11,5,9,8,12
"1617.00_00109",3,4,4,3,4,4,4,8,6,3,3,3
"1617.00_00110",19,18,9,6,15,13,10,13,8,4,13,18
"1617.00_00111",100,124,64,40,87,71,37,107,76,82,68,53
"1617.00_00112",982,517,386,684,685,673,464,838,654,817,753,736
"1617.00_00113",2624,3121,1293,1975,2322,1784,1191,2876,1772,2564,2319,2076
"1617.00_00114",2265,2387,1381,1807,2088,1947,1270,2625,1585,2161,2010,1981
"1617.00_00115",63515,53974,38593,37860,73585,49391,36170,92067,54990,82812,45352,40364
"1617.00_00116",124,35,36,57,50,42,43,71,48,70,115,119
"1617.00_00117",150,63,88,125,133,122,99,173,85,119,165,208
"1617.00_00118",65,33,30,64,54,45,31,54,29,52,73,90
"1617.00_00119",238,95,103,128,158,144,100,232,149,210,219,232
"1617.00_00120",180,69,61,87,106,89,87,177,89,123,240,303
"1617.00_00121",418,239,153,191,314,148,131,432,243,355,457,420
"1617.00_00122",7,5,11,9,9,5,4,8,1,9,10,12
"1617.00_00123",0,141,157,178,230,0,0,0,0,0,255,298
"1617.00_00124",0,19,28,19,28,0,0,0,0,0,40,39
"1617.00_00125",0,356,376,259,428,1,0,0,0,0,580,644
"1617.00_00126",0,18,52,31,59,0,0,0,0,0,54,59
"1617.00_00127",0,54,106,87,120,0,0,0,0,0,115,119
"1617.00_00128",0,29,39,31,47,0,0,0,0,0,57,62
"1617.00_00129",0,151,127,151,177,0,0,0,0,0,181,203
"1617.00_00130",440,84,97,85,104,595,511,750,456,576,134,112
"1617.00_00131",166,12,16,32,28,178,130,211,121,146,36,56
"1617.00_00132",256,24,48,45,55,323,225,468,236,361,82,68
"1617.00_00133",18,2,5,10,9,43,36,53,25,51,13,1
"1617.00_00134",146,16,12,26,15,90,69,129,78,141,33,37
"1617.00_00135",309,23,56,66,71,324,275,434,214,367,101,99
"1617.00_00136",181,23,8,27,22,141,101,227,95,174,38,44
"1617.00_00137",702,100,118,113,139,638,433,839,541,673,168,166
"1617.00_00138",132,104,84,123,138,103,58,131,93,117,166,170
"1617.00_00139",181,183,126,125,224,199,97,211,122,174,146,158
"1617.00_00141",2812,4840,2489,2937,3596,3367,2214,3977,2830,3979,2322,2189
"1617.00_00142",217,272,142,183,234,189,107,271,180,260,197,173
"1617.00_00143",5,3,4,2,1,2,3,3,3,2,3,7
"1617.00_00144",1,0,0,0,1,3,2,4,2,1,2,1
"1617.00_00145",1,0,1,3,4,2,0,0,0,1,3,1
"1617.00_00146",8,1,2,0,1,4,3,4,3,2,3,5
"1617.00_00148",1,2,2,5,5,6,3,4,0,4,10,9
"1617.00_00149",97,49,55,83,42,48,50,86,43,60,70,86
"1617.00_00150",34,23,20,44,24,28,34,21,20,29,46,27
"1617.00_00151",497,374,228,324,385,333,267,443,285,400,393,407
"1617.00_00152",8,4,2,8,2,8,9,4,6,4,9,7
"1617.00_00153",11,4,3,16,5,9,8,10,6,11,15,15
"1617.00_00154",7,5,1,5,3,6,7,7,3,3,6,4
"1617.00_00155",10,8,9,11,8,11,6,5,5,6,5,3
"1617.00_00156",5,4,8,13,3,8,6,8,3,9,3,9
"1617.00_00157",10,5,5,12,8,8,11,7,5,7,9,12
"1617.00_00158",9,12,0,11,13,15,6,12,4,10,12,17
"1617.00_00159",2746,1813,3718,5345,5274,4680,3018,5821,3525,4881,3910,3089
"1617.00_00160",5454,3922,2865,4419,4878,4714,3334,6245,3962,5928,4666,4319
"1617.00_00161",47,40,43,105,42,80,63,48,43,41,47,49
"1617.00_00162",6,5,7,11,4,10,5,0,5,4,3,2
"1617.00_00163",20,9,14,29,13,19,27,18,9,12,17,10
"1617.00_00164",24,15,19,41,13,20,25,23,10,13,17,16
"1617.00_00165",861,2071,808,949,979,1224,799,1151,889,1106,502,538
"1617.00_00166",22,19,21,23,3,21,15,14,10,12,17,18
"1617.00_00167",50,20,65,80,44,71,78,53,50,48,30,27
"1617.00_00168",3,7,5,9,3,6,12,4,4,3,6,6
"1617.00_00169",63,37,51,109,34,67,65,44,22,26,34,31
"1617.00_00170",114,86,138,204,91,162,175,142,87,84,89,68
"1617.00_00171",27,16,22,49,18,39,40,41,18,17,19,19
"1617.00_00172",7,16,14,25,7,18,12,13,15,12,9,3
"1617.00_00173",36,25,32,44,15,41,34,40,20,21,10,22
"1617.00_00174",20,9,22,30,8,26,27,21,16,10,9,13
"1617.00_00175",26,12,35,56,31,40,68,51,33,26,20,22
"1617.00_00176",16,8,22,27,17,33,31,22,19,17,18,14
"1617.00_00177",11,3,14,21,10,13,12,13,5,15,1,9
"1617.00_00178",64,31,74,147,54,93,122,95,44,61,46,37
"1617.00_00179",15,9,14,22,10,34,15,12,8,8,14,8
"1617.00_00180",21,11,13,36,15,26,21,27,14,17,21,34
"1617.00_00181",20,13,20,31,15,33,28,21,14,23,23,25
"1617.00_00182",769,1934,986,1272,1399,1179,795,1492,918,1366,803,653
"1617.00_00183",53,29,28,51,21,29,27,47,39,32,44,31
"1617.00_00184",81,62,73,111,72,98,92,65,51,62,69,54
"1617.00_00185",20,30,38,33,22,43,24,28,21,20,15,21
"1617.00_00186",314,842,326,384,454,435,245,475,315,382,225,225
"1617.00_00187",68,44,38,66,42,53,33,73,39,47,54,50
"1617.00_00188",10,8,10,14,7,11,7,9,6,8,15,15
"1617.00_00189",25,11,19,31,20,17,15,28,16,25,37,31
"1617.00_00190",1749,1571,1860,2141,1827,2684,1733,2054,1431,1522,1307,1168
"1617.00_00191",5498,7466,4513,4220,6155,7184,4662,7060,4850,7217,3315,3167
"1617.00_00192",6104,6093,4955,4766,6710,8118,5270,7388,5340,7794,3734,3759
"1617.00_00193",500,419,419,838,640,444,446,654,423,593,713,742
"1617.00_00194",3,1,9,2,1,9,5,8,1,3,2,1
"1617.00_00195",91,102,114,145,142,173,120,199,118,175,147,143
"1617.00_00196",26,2,14,35,22,29,25,28,15,20,19,17
"1617.00_00197",790,395,310,506,514,475,345,691,391,567,749,752
"1617.00_00198",233,303,144,203,227,216,131,343,195,260,258,279
"1617.00_00199",636,401,251,314,465,345,285,652,422,513,589,554
"1617.00_00200",2213,897,588,936,1272,825,685,2090,1094,1422,2355,2176
"1617.00_00201",109,38,37,46,45,47,39,92,42,61,97,110
"1617.00_00202",176,69,73,143,130,115,102,168,93,130,212,257
"1617.00_00203",187,63,78,127,118,108,90,195,87,147,238,245
"1617.00_00204",1203,871,1076,462,1618,1476,933,1708,993,1669,573,532
"1617.00_00205",249,150,95,150,153,134,125,213,136,205,251,265
"1617.00_00206",69,33,43,68,78,65,53,92,64,71,72,70
"1617.00_00207",118,75,88,119,127,122,67,194,85,133,116,129
"1617.00_00208",327,219,181,204,316,303,186,397,214,282,311,287
"1617.00_00209",406,329,196,246,368,316,243,390,312,371,342,328
"1617.00_00210",4883,5190,3297,3395,5077,5289,3453,6195,4310,5395,2955,2709
"1617.00_00211",194,128,90,136,144,167,128,195,113,180,172,153
"1617.00_00212",87,41,47,72,64,51,39,90,68,63,119,125
"1617.00_00213",467,244,209,80,345,274,194,421,296,372,149,186
"1617.00_00214",451,206,135,199,244,201,159,377,188,303,429,361
"1617.00_00215",35,19,18,13,31,25,18,60,32,34,17,44
"1617.00_00216",47,6,15,21,22,16,17,42,14,23,38,54
"1617.00_00217",52,29,23,23,51,33,48,67,34,52,52,91
"1617.00_00218",167,93,99,128,152,118,92,172,102,157,212,229
"1617.00_00219",306,146,189,254,259,241,216,294,199,307,284,303
"1617.00_00220",18,38,48,11,41,29,19,33,26,31,11,12
"1617.00_00221",20,26,11,10,32,11,10,24,16,21,13,19
"1617.00_00222",33,31,16,28,27,38,16,54,30,30,38,37
"1617.00_00223",38,129,64,37,73,58,34,99,44,77,42,37
"1617.00_00224",5,1,2,2,2,3,2,0,3,3,0,4
"1617.00_00225",8,17,11,10,15,16,10,22,11,11,11,9
"1617.00_00226",157,52,49,88,87,78,58,100,69,103,177,151
"1617.00_00227",153,79,62,106,77,68,46,95,64,108,169,161
"1617.00_00228",60,28,37,60,51,57,36,53,44,71,94,87
"1617.00_00229",249,73,84,109,145,147,109,169,128,138,216,238
"1617.00_00230",765,262,358,702,540,524,433,803,488,637,1020,1066
"1617.00_00231",1472,581,373,701,647,588,517,1001,598,837,1858,1804
"1617.00_00232",218,116,81,93,120,126,81,173,102,132,196,197
"1617.00_00233",660,249,156,272,297,209,133,435,245,342,758,764
"1617.00_00234",101,13,33,49,53,37,38,92,37,64,142,128
"1617.00_00235",110,58,44,63,65,52,38,87,49,71,105,117
"1617.00_00236",3209,2151,1017,1560,1694,1494,1185,2456,1383,1710,3462,3292
"1617.00_00237",497,334,190,300,298,260,219,354,185,271,465,473
"1617.00_00238",178,107,110,181,133,158,156,199,132,153,223,220
"1617.00_00239",188,334,182,131,272,215,128,304,216,238,128,119
"1617.00_00240",74,70,75,20,62,58,37,88,52,69,25,21
"1617.00_00241",41,43,23,32,54,47,29,57,30,47,22,32
"1617.00_00242",98,90,69,104,95,93,49,129,82,120,83,107
"1617.00_00243",113,49,95,121,104,88,98,149,96,111,165,177
"1617.00_00244",64,48,71,96,103,81,75,113,69,88,83,71
"1617.00_00245",49,31,32,44,41,39,22,59,26,48,45,44
"1617.00_00246",41,29,33,37,46,32,25,55,34,47,42,47
"1617.00_00247",4,1,2,3,8,4,2,6,5,3,5,7
"1617.00_00248",80,54,42,99,59,65,45,77,37,60,117,134
"1617.00_00249",250,166,160,271,255,200,138,272,175,203,368,328
"1617.00_00250",363,198,392,975,516,495,328,550,296,442,706,705
"1617.00_00251",210,78,55,123,101,84,77,200,102,140,261,231
"1617.00_00252",1028,521,303,421,521,443,328,736,406,582,913,955
"1617.00_00253",328,180,167,248,213,180,152,304,149,266,343,351
"1617.00_00254",280,157,138,268,195,161,131,264,149,202,384,348
"1617.00_00255",54,14,24,43,44,39,45,65,31,31,64,75
"1617.00_00256",55,21,20,38,34,33,30,46,16,36,37,47
"1617.00_00257",32,3,14,26,19,21,23,25,22,23,27,34
"1617.00_00258",28,6,27,37,23,37,17,45,14,35,50,47
"1617.00_00259",737,714,525,1212,963,652,498,1168,696,940,1353,1336
"1617.00_00260",382,331,214,249,302,307,212,436,240,326,339,357
"1617.00_00261",219,98,74,117,112,76,75,181,107,139,176,182
"1617.00_00262",917,763,425,548,683,608,477,944,627,843,624,674
"1617.00_00263",41,94,138,264,139,219,120,182,110,141,121,103
"1617.00_00264",19,11,14,19,15,11,8,15,9,21,10,15
"1617.00_00265",6,7,8,4,5,3,3,9,2,5,13,6
"1617.00_00266",28,18,24,35,31,33,18,43,18,33,40,39
"1617.00_00267",9,7,10,11,18,16,7,18,9,17,22,22
"1617.00_00268",245,1257,217,134,282,183,92,322,284,255,94,122
"1617.00_00269",829,2419,589,417,919,569,297,984,840,919,438,533
"1617.00_00270",8,26,8,17,9,20,7,10,11,17,8,7
"1617.00_00271",116,59,81,140,123,129,72,138,99,119,133,150
"1617.00_00272",28,17,12,24,19,14,10,28,10,18,33,41
"1617.00_00273",64,75,31,58,55,40,32,70,41,46,58,68
"1617.00_00274",1154,535,314,414,591,349,277,883,467,675,1409,1381
"1617.00_00275",582,217,182,277,264,301,206,403,252,301,587,649
"1617.00_00276",439,623,543,1038,931,758,499,1020,643,849,817,722
"1617.00_00277",48,159,61,87,82,68,43,95,63,84,52,71
"1617.00_00278",6,11,1,6,7,6,3,6,7,8,11,11
"1617.00_00279",24,27,15,26,25,28,15,27,35,36,23,25
"1617.00_00280",15,28,8,13,23,13,13,15,15,20,8,14
"1617.00_00281",229,167,83,184,189,137,86,252,133,190,266,248
"1617.00_00282",20,28,18,19,32,20,14,53,21,32,24,31
"1617.00_00283",55,62,24,36,51,55,28,71,38,57,26,42
"1617.00_00284",36,28,21,23,29,24,14,35,17,25,35,25
"1617.00_00285",17,6,4,5,8,2,3,5,7,7,8,12
"1617.00_00286",15,6,7,6,11,13,6,10,7,9,15,14
"1617.00_00287",100,57,56,97,91,61,50,110,72,90,103,88
"1617.00_00288",14,4,4,7,8,5,4,9,8,11,11,6
"1617.00_00289",12,5,10,10,6,7,7,12,10,12,6,16
"1617.00_00290",26,15,17,26,41,20,15,28,26,33,31,28
"1617.00_00291",2574,966,673,1185,1213,912,688,1669,1015,1453,2605,2607
"1617.00_00292",19,12,5,12,7,14,4,17,8,14,26,19
"1617.00_00293",26,17,9,10,12,10,12,13,8,8,32,20
"1617.00_00294",11,9,3,1,3,5,2,6,2,1,4,5
"1617.00_00295",5,4,0,1,0,2,5,4,0,1,6,0
"1617.00_00296",23,10,15,19,18,18,9,33,23,22,25,26
"1617.00_00297",14,13,7,11,11,15,8,24,14,13,2,9
"1617.00_00298",180,136,112,164,210,155,123,269,144,201,186,166
"1617.00_00299",517,295,204,393,330,250,173,467,276,373,532,536
"1617.00_00300",30,215,75,80,86,80,52,87,55,68,52,35
"1617.00_00301",241,58,63,98,95,84,62,141,83,110,330,341
"1617.00_00302",924,2004,1228,2398,1973,1477,949,2085,1213,1635,1873,1520
"1617.00_00303",125,116,63,108,114,91,70,129,81,120,154,165
"1617.00_00304",31,20,17,20,18,21,12,28,12,36,33,45
"1617.00_00305",26,10,15,31,28,22,10,39,26,30,37,35
"1617.00_00306",57,30,39,45,56,59,33,68,36,55,57,75
"1617.00_00307",65,36,29,73,70,42,41,71,38,60,82,109
"1617.00_00308",43,27,29,48,42,34,29,47,25,35,63,72
"1617.00_00309",6,3,2,5,7,1,2,7,1,4,6,3
"1617.00_00310",7,8,5,10,5,5,6,5,6,10,10,13
"1617.00_00311",35,23,26,37,35,24,25,29,30,31,34,37
"1617.00_00312",56,22,31,32,40,35,33,70,36,52,79,87
"1617.00_00313",58,23,22,36,42,36,29,58,25,42,60,76
"1617.00_00314",640,451,367,805,607,477,385,832,472,624,985,951
"1617.00_00315",275,171,73,155,183,159,97,244,159,187,368,314
"1617.00_00316",174,53,97,117,161,127,115,198,111,139,222,224
"1617.00_00317",514,477,302,405,422,442,310,589,335,474,521,541
"1617.00_00318",149,64,63,71,101,94,58,120,84,105,168,152
"1617.00_00319",1,0,1,1,1,1,3,1,0,2,1,1
"1617.00_00321",6,4,0,2,1,1,3,10,4,2,4,6
"1617.00_00322",1,6,3,1,3,2,4,2,0,4,3,2
"1617.00_00324",6,2,4,8,13,14,9,15,8,9,7,8
"1617.00_00325",5,7,13,24,7,17,10,23,12,19,11,14
"1617.00_00326",3,1,4,4,4,9,2,5,3,3,2,4
"1617.00_00328",2,1,3,2,4,1,6,5,3,1,3,1
"1617.00_00331",3,2,4,2,4,3,1,4,0,2,2,2
"1617.00_00332",2,0,4,4,4,3,1,8,0,4,6,5
"1617.00_00333",4,1,1,0,2,5,2,5,0,1,2,2
"1617.00_00334",3,2,1,1,2,2,1,2,0,2,5,3
"1617.00_00335",2,0,3,3,3,7,0,1,2,0,4,4
"1617.00_00336",7,3,1,4,1,3,2,5,2,2,2,3
"1617.00_00337",3,0,1,8,3,2,1,5,1,3,6,8
"1617.00_00338",23,28,20,28,23,26,11,32,17,26,23,22
"1617.00_00339",2059,1412,1208,2052,1918,1670,1128,2493,1575,2102,2300,2430
"1617.00_00340",2863,3139,1682,2022,2609,2212,1671,3375,2102,3133,2251,2191
"1617.00_00341",2146,2240,944,1096,1577,1341,1012,2000,1271,1962,1416,1391
"1617.00_00342",3126,3658,2077,2453,3168,3008,2249,3595,2354,3579,2196,2205
"1617.00_00343",2695,3556,1917,2736,2912,3141,2035,3263,2380,3242,2086,2094
"1617.00_00344",6205,8208,4161,6144,5919,6329,3688,6684,5322,7054,4053,5141
"1617.00_00345",9669,17072,9637,11449,12567,14149,9040,14567,10450,14371,8169,8150
"1617.00_00346",5199,9434,4951,5958,6530,7619,4914,7432,5612,7453,4316,4198
"1617.00_00347",4287,8779,3313,3849,4619,4821,2712,5183,4072,5228,2271,3207
"1617.00_00348",4290,7363,3299,3967,4339,5093,2921,5009,3925,5049,2501,3159
"1617.00_00349",4386,5853,2964,3694,4056,4386,2274,4443,3957,4719,2117,3121
"1617.00_00350",4725,7082,3586,4422,5016,5577,3370,5726,4545,6154,2939,3788
"1617.00_00351",2839,3863,1933,2510,2886,3085,1938,3188,2582,3412,1861,2065
"1617.00_00352",7044,10955,5037,6701,6925,7682,4892,8282,5721,8127,5256,5420
"1617.00_00353",1950,863,834,901,1408,1090,992,1779,1185,1677,1308,1503
"1617.00_00354",5435,4514,2631,4161,4400,3412,2750,5900,3456,5156,5561,5374
"1617.00_00355",666,1039,545,719,840,671,524,931,684,976,635,570
"1617.00_00356",6717,6622,4186,5231,6594,6551,4712,8083,5324,7924,5093,4999
"1617.00_00357",135,99,48,45,86,57,53,103,75,79,123,127
"1617.00_00358",86,25,13,22,35,24,21,39,15,30,67,70
"1617.00_00359",59,17,16,19,24,20,23,39,17,32,66,51
"1617.00_00360",44,16,10,15,20,28,10,19,12,21,45,49
"1617.00_00361",140,56,45,57,58,71,36,96,49,64,143,128
"1617.00_00362",46,11,24,17,16,18,11,30,17,31,44,61
"1617.00_00363",76,8,21,15,14,19,14,38,24,24,70,70
"1617.00_00364",74,35,22,27,38,27,20,51,33,35,76,69
"1617.00_00365",186,109,71,124,127,110,81,169,114,120,195,169
"1617.00_00366",166,99,51,63,73,77,51,121,72,82,119,116
"1617.00_00367",586,284,233,434,413,347,223,465,289,467,663,638
"1617.00_00368",194,109,126,273,178,181,125,225,136,209,290,269
"1617.00_00369",1447,1717,1234,1129,1874,1318,1028,2516,1411,2096,1385,1254
"1617.00_00370",186,133,108,232,154,144,85,213,105,151,244,220
"1617.00_00371",96,135,103,224,152,120,103,224,101,173,135,122
"1617.00_00372",379,162,81,143,178,151,74,226,141,190,344,354
"1617.00_00373",33,26,23,40,26,24,16,38,30,34,46,42
"1617.00_00374",729,975,496,1007,770,527,464,822,506,786,1054,1029
"1617.00_00375",418,330,226,477,383,324,247,464,268,488,557,463
"1617.00_00376",1640,2979,1646,2037,2398,2062,1430,2600,1842,2194,1488,1448
"1617.00_00377",15,7,10,12,11,7,3,18,11,17,22,22
"1617.00_00378",10,6,3,8,4,6,6,10,4,12,15,13
"1617.00_00379",17,11,4,9,11,13,7,17,9,13,14,24
"1617.00_00380",20,20,16,16,22,14,8,24,12,24,41,29
"1617.00_00381",27,7,16,13,16,17,11,24,13,15,26,21
"1617.00_00382",23,21,10,17,16,7,3,18,14,8,37,27
"1617.00_00383",14,4,3,4,2,7,2,8,3,7,7,8
"1617.00_00384",2,1,0,2,1,1,0,1,0,4,2,1
"1617.00_00385",9,4,2,7,9,4,2,8,4,5,7,6
"1617.00_00386",4,5,2,6,2,3,2,8,2,2,10,6
"1617.00_00387",14,4,1,0,3,3,4,4,5,3,8,2
"1617.00_00388",4,6,2,0,4,3,1,7,3,5,3,5
"1617.00_00389",1,1,3,0,0,1,1,3,1,1,0,2
"1617.00_00390",30,30,10,15,17,19,10,13,13,23,18,11
"1617.00_00391",18,8,1,1,4,4,0,12,2,2,3,2
"1617.00_00392",19,10,5,7,8,6,7,8,7,8,4,3
"1617.00_00393",30,13,6,10,12,9,2,14,7,24,10,10
"1617.00_00394",21,3,3,1,7,4,6,1,1,6,8,2
"1617.00_00395",2,5,2,1,5,1,3,1,1,3,0,0
"1617.00_00396",21,20,25,25,25,19,11,30,24,28,14,17
"1617.00_00397",69,125,63,45,92,76,44,70,57,72,38,30
"1617.00_00398",30,28,23,14,27,22,13,28,13,30,30,22
"1617.00_00399",57,39,33,45,57,49,26,54,30,56,59,51
"1617.00_00400",51,33,33,39,33,43,24,53,25,32,36,53
"1617.00_00401",93,47,42,56,61,59,43,86,66,81,80,99
"1617.00_00402",646,499,408,714,605,540,346,668,389,647,774,724
"1617.00_00403",263,153,247,318,315,478,357,539,347,408,293,215
"1617.00_00404",48,49,24,50,46,37,23,59,28,48,82,78
"1617.00_00405",245,115,187,378,236,274,166,307,195,242,233,253
"1617.00_00407",157,76,71,168,122,133,120,162,88,134,161,171
"1617.00_00409",14,5,5,10,10,9,5,12,3,5,11,12
"1617.00_00410",14,6,5,8,11,17,10,14,12,8,13,15
"1617.00_00412",7,2,6,8,7,7,7,9,4,10,6,7
"1617.00_00413",617,831,787,1764,1031,1142,734,1161,756,1023,1042,1009
"1617.00_00414",245,582,289,528,371,377,241,371,270,412,329,351
