"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_03117",3495,4545,1930,3211,2614,3753,2420,3395,2406,2595,2929,2660
"1617.00_03118",483,242,200,196,336,253,210,395,244,305,336,392
"1617.00_03119",241,164,121,155,191,190,122,249,106,195,245,231
"1617.00_03120",320,295,200,196,319,275,196,412,260,353,241,214
"1617.00_03121",664,766,444,402,731,623,403,846,523,719,446,412
"1617.00_03122",302,225,121,398,211,167,135,269,159,234,519,544
"1617.00_03123",79,27,55,95,86,99,64,115,74,96,109,122
"1617.00_03124",151,147,76,98,118,99,68,153,84,127,141,127
"1617.00_03125",341,237,235,378,465,253,238,636,352,449,493,436
"1617.00_03126",326,180,155,251,228,174,178,345,187,307,367,307
"1617.00_03127",206,79,135,168,213,195,139,275,165,247,286,295
"1617.00_03128",16,4,7,10,8,9,8,19,4,17,17,16
"1617.00_03129",2,0,2,2,1,2,1,3,1,3,5,2
"1617.00_03130",1,1,0,1,1,1,0,0,2,1,1,1
"1617.00_03131",5,2,2,0,9,6,1,7,3,1,1,2
"1617.00_03132",38,32,25,38,42,39,32,68,35,48,46,41
"1617.00_03133",66,63,38,43,41,56,28,63,41,49,61,67
"1617.00_03134",12,3,2,2,6,4,3,6,1,8,5,6
"1617.00_03136",414,534,307,408,469,396,345,566,355,546,365,427
"1617.00_03137",69,111,86,89,105,82,73,123,84,128,85,83
"1617.00_03138",14,31,18,35,29,12,16,31,21,26,26,20
"1617.00_03139",98,122,57,80,90,92,60,91,70,87,77,65
"1617.00_03140",401,151,109,156,202,257,186,306,196,240,301,324
"1617.00_03141",224,69,62,107,112,131,81,161,95,124,209,262
"1617.00_03142",80,35,29,43,43,44,43,50,30,59,80,77
"1617.00_03143",14,16,9,13,15,17,8,19,11,11,22,14
"1617.00_03144",9,1,10,14,11,14,10,11,10,14,8,4
"1617.00_03145",6,25,6,4,8,5,7,12,9,11,12,8
"1617.00_03146",7,0,1,2,2,4,2,2,2,4,1,3
"1617.00_03147",2,1,0,1,6,1,4,2,0,5,1,4
"1617.00_03148",8,7,9,11,10,9,12,15,14,8,7,7
"1617.00_03149",2,1,1,0,0,2,0,2,2,2,0,1
"1617.00_03150",43,44,29,35,39,33,24,50,34,49,36,34
"1617.00_03151",297,103,64,77,135,94,69,187,95,122,190,240
"1617.00_03152",54,16,24,32,56,28,31,68,33,47,48,53
"1617.00_03153",7,2,5,10,16,9,4,12,3,16,16,8
"1617.00_03154",315,232,125,153,196,182,148,297,156,224,361,372
"1617.00_03155",2724,3673,2036,2755,3078,2672,1821,3509,2390,2850,2565,2355
"1617.00_03156",199,71,70,87,105,84,76,170,86,110,161,198
"1617.00_03157",85,11,18,4,36,30,22,58,35,42,15,16
"1617.00_03158",160,36,42,17,62,58,52,97,56,91,36,37
"1617.00_03159",17,12,11,27,23,15,15,22,13,20,21,24
"1617.00_03160",2,0,1,0,2,0,4,0,1,1,0,1
"1617.00_03161",4,8,2,4,1,1,1,3,1,2,6,7
"1617.00_03162",1,0,1,3,0,2,1,0,1,1,0,2
"1617.00_03163",12,5,2,2,0,4,3,7,6,0,12,13
"1617.00_03164",43,30,12,21,26,17,20,32,13,22,39,38
"1617.00_03165",81,61,33,56,75,51,21,91,80,69,93,81
"1617.00_03166",36,18,19,23,27,25,17,20,17,29,29,44
"1617.00_03167",32,10,21,35,24,30,23,30,21,32,51,38
"1617.00_03168",139,341,171,268,183,232,142,239,134,175,213,189
"1617.00_03169",5,2,11,11,5,8,4,6,5,10,9,8
"1617.00_03170",4,9,3,9,3,6,0,6,2,6,11,12
"1617.00_03171",7,12,5,5,9,5,4,2,2,8,4,1
"1617.00_03172",4,6,9,13,9,5,9,12,6,5,20,18
"1617.00_03173",4592,6358,7536,13306,10102,11071,6939,11489,6366,9143,8083,6670
"1617.00_03174",18,12,17,14,23,14,9,20,12,12,16,15
"1617.00_03175",14,16,10,8,12,6,12,20,11,9,10,6
"1617.00_03176",38,15,18,18,21,16,14,20,19,17,43,35
"1617.00_03177",90,20,33,70,70,79,65,89,50,83,98,95
"1617.00_03178",43,6,15,17,16,23,27,36,29,24,20,42
"1617.00_03179",54,53,21,44,38,31,29,57,24,47,69,73
"1617.00_03180",95,38,45,64,63,69,44,94,51,48,119,111
"1617.00_03181",172,90,63,133,118,78,90,143,99,114,269,335
"1617.00_03182",172,137,107,131,170,116,108,196,126,171,145,148
"1617.00_03183",268,334,135,154,217,165,110,258,173,236,221,210
"1617.00_03184",632,536,367,264,558,620,368,596,404,550,305,285
"1617.00_03185",98,33,106,50,188,142,127,185,97,126,51,50
"1617.00_03186",268,378,152,241,239,234,186,290,182,253,225,214
"1617.00_03187",14,17,14,16,11,9,4,14,9,9,10,12
"1617.00_03188",0,5,1,3,2,1,1,4,3,5,6,3
"1617.00_03189",20,13,28,38,43,32,14,41,29,24,21,19
"1617.00_03190",59,52,28,40,51,33,32,61,38,47,75,79
"1617.00_03191",103,81,43,74,76,81,64,132,74,74,88,84
"1617.00_03192",203,76,144,187,205,276,160,342,160,176,173,136
"1617.00_03193",969,571,841,1087,1287,1281,1178,1797,911,1313,1032,1102
"1617.00_03194",1382,1237,1057,1372,1558,1705,1081,1786,1085,1480,1061,978
"1617.00_03195",581,440,549,1261,831,640,557,1018,545,928,1266,1238
"1617.00_03196",922,497,501,1255,863,727,496,1158,633,816,1507,1656
"1617.00_03197",99,36,64,94,79,74,61,79,50,61,151,174
"1617.00_03198",134,72,67,80,107,88,61,141,81,111,147,133
"1617.00_03199",60,60,37,74,64,37,36,84,47,79,83,73
"1617.00_03200",415,286,224,329,350,326,227,393,265,376,481,438
"1617.00_03201",168,69,63,150,113,126,101,163,87,115,163,167
"1617.00_03202",338,122,164,246,241,251,185,271,198,224,312,334
"1617.00_03203",293,105,71,103,144,118,89,192,115,135,287,313
"1617.00_03204",19,22,11,29,33,25,12,26,17,28,28,38
"1617.00_03205",195,61,70,79,112,86,77,170,79,108,168,166
"1617.00_03206",1404,1269,475,677,939,659,522,1226,749,1022,1180,1196
"1617.00_03207",1772,1516,835,1945,1574,1024,875,1975,1094,1565,2820,2953
"1617.00_03208",238,65,47,66,96,73,81,147,69,113,288,311
"1617.00_03209",423,150,95,137,154,146,103,239,141,192,440,474
"1617.00_03210",459,96,125,208,216,182,189,322,205,254,388,547
"1617.00_03211",761,462,250,357,466,342,314,662,464,526,762,736
"1617.00_03212",130,26,46,104,100,84,56,162,71,136,215,208
"1617.00_03213",14,6,12,15,16,16,9,23,14,13,35,28
"1617.00_03214",17,28,30,48,48,56,22,54,19,55,43,34
"1617.00_03215",853,672,435,587,693,596,486,879,591,771,753,809
"1617.00_03216",251,244,175,213,269,292,195,353,225,297,161,155
"1617.00_03217",1465,830,556,765,946,748,619,1348,852,1090,1312,1372
"1617.00_03218",2197,1076,943,1465,1559,1441,1131,2076,1189,1781,2129,2336
"1617.00_03219",8160,8424,5649,2210,7845,12353,7280,8688,6195,7870,1510,1319
"1617.00_03220",3886,5949,2614,954,3774,5236,3535,4507,3278,4398,717,795
"1617.00_03221",847,714,564,334,817,1073,673,1022,684,1004,328,307
"1617.00_03222",1195,686,622,798,700,989,646,1017,645,825,862,867
"1617.00_03223",1521,485,243,688,507,972,680,840,511,734,835,911
"1617.00_03224",707,829,746,3169,1337,787,615,1226,737,1101,2572,2166
"1617.00_03225",19,10,15,22,29,15,12,31,16,23,33,29
"1617.00_03226",813,418,476,1300,881,551,520,1064,615,814,1518,1658
"1617.00_03227",110,55,55,96,102,73,55,100,65,93,159,147
"1617.00_03228",20,11,15,34,25,20,15,25,22,15,25,31
"1617.00_03230",64,23,35,49,51,41,52,80,45,60,80,85
"1617.00_03231",73,71,59,67,91,77,62,109,67,91,84,113
"1617.00_03232",112,62,110,75,135,103,55,133,84,110,83,77
"1617.00_03233",299,275,409,888,551,540,358,714,303,532,1031,766
"1617.00_03234",60,51,21,49,48,50,24,66,37,48,54,52
"1617.00_03235",212,122,76,189,186,148,124,207,139,208,229,209
"1617.00_03236",371,215,117,172,193,218,130,247,154,243,227,207
"1617.00_03237",57,49,26,32,51,41,21,75,44,53,38,41
"1617.00_03238",2410,1667,970,1311,1737,1415,1113,2420,1390,1887,2191,2416
