"","WT1-","PZGH2-","PZGH3-","PZGH2+","PZGH3+","WT2-","WT3-","WT1+","WT2+","WT3+"
"2351_02787",4107.37,13650.68,13662.6,19634.38,20834.93,9061.33,12103.38,12657.3,13364.85,15560.78
"2351_02788",976.38,1107.51,1051.18,1385.49,1397.84,1061.49,1047.13,655.61,711.12,670.02
"2351_02789",952.24,823.85,953.03,736.08,617.18,1032.97,1013.9,1352.04,1603.13,1331.32
"2351_02790",267.52,346.95,371.49,303.89,342.35,339.71,366.49,496.6,477.59,436.87
"2351_02791",1143.46,1115.43,1364.88,1151.39,1182.24,937.66,1000.81,1767.86,1579.2,1514.35
"2351_02792",4292.8,3967.84,3846.08,3794.07,3961.34,4145.74,4471.43,3611.39,3626.43,3440.52
"2351_02793",1974.01,1930.24,1800.58,1967.38,2013.84,2104.24,2369.12,1705.78,1726.6,1501.28
"2351_02794",97.54,59.9,64.21,85.54,66.34,89.61,46.32,79.93,62.21,95.87
"2351_02795",233.71,246.37,299.03,306.14,283.12,292.46,299.04,299.32,361.78,330.11
"2351_02796",874.98,690.5,787.01,590.89,543.74,1011.79,899.12,1140.31,1365.77,1115.61
"2351_02797",344.78,334.51,364.15,285.88,306.81,420.36,355.42,557.82,606.8,591.58
"2351_02798",537.93,527.76,586.13,746.21,745.12,470.05,540.68,974.49,662.31,702.7
"2351_02799",1493.06,1810.45,2057.42,1988.76,1986.59,1798.74,2041.9,2017.86,2022.34,1913.09
"2351_02800",2626.86,2981.25,3196.65,3190.8,3164.1,2840.68,2994.38,2752.55,2744.94,2835.87
"2351_02801",803.51,785.43,808.11,810.36,793.69,842.35,859.85,732.99,781.95,782.23
"2351_02802",2866.37,2919.09,3095.76,3169.41,3008.91,3177.94,3292.41,3500,3631.21,3298.89
"2351_02803",895.26,1110.9,1101.63,1200.91,1259.24,1107.11,1170.97,1205.78,1194.45,1197.32
"2351_02804",665.41,491.6,452.21,417.56,438.31,499.38,447.04,421.77,429.73,441.23
"2351_02805",504.13,576.36,553.11,546.99,619.55,486.34,417.84,406.46,402.94,496.79
"2351_02806",283.93,246.37,237.57,261.12,264.17,285.13,284.94,254.25,242.14,233.14
"2351_02807",68.57,27.12,46.78,41.64,41.46,40.73,47.32,56.12,58.38,44.67
"2351_02808",115.89,101.71,85.31,65.28,77,91.24,88.6,80.78,62.21,63.19
"2351_02809",293.59,185.34,180.7,128.31,169.4,222.4,174.19,165.82,154.09,154.7
"2351_02810",62.77,48.6,51.37,42.77,47.38,51.32,69.47,53.57,70.82,55.56
"2351_02811",15.45,29.38,33.02,32.64,24.88,28.51,29.2,37.41,46.9,31.59
"2351_02812",49.25,37.29,45.86,49.52,31.98,54.58,40.27,59.52,76.57,55.56
"2351_02813",335.12,247.5,310.03,303.89,296.15,277.79,311.12,194.73,172.28,177.58
"2351_02814",69.53,85.89,118.33,114.8,119.65,75.76,96.66,76.53,52.64,53.38
"2351_02815",405.62,440.75,473.31,517.73,549.66,400.81,413.82,338.44,307.23,319.21
"2351_02816",1417.73,1918.94,1821.68,2359.05,2479.39,1545.39,1586.8,1823.98,1729.47,1947.96
"2351_02817",480.95,498.38,672.35,1078.23,869.5,597.14,510.47,1056.12,1432.77,1437
"2351_02818",501.23,597.83,745.73,1143.51,1010.47,683.49,632.3,1055.27,1486.37,1391.24
"2351_02819",666.37,609.13,699.87,846.38,881.35,757.62,590.02,804.42,1040.36,1079.66
"2351_02820",286.83,154.83,111.91,114.8,104.25,123.01,124.85,127.55,89.97,90.43
"2351_02821",82.09,63.29,73.38,85.54,67.52,70.87,65.45,86.73,70.82,52.29
"2351_02822",49.25,39.55,37.61,50.65,63.97,52.14,59.4,55.27,44.98,44.67
"2351_02823",139.07,96.06,88.06,92.29,106.61,124.64,95.65,106.29,84.22,110.04
"2351_02824",50.22,53.12,56.87,45.02,30.8,43.18,38.26,57.82,43.07,58.83
"2351_02825",144.86,102.84,115.57,96.79,99.51,127.09,118.81,129.25,139.74,143.81
"2351_02826",26.08,37.29,39.44,39.39,29.62,48.06,28.19,43.37,57.43,46.85
"2351_02827",41.53,49.73,85.31,61.9,56.86,65.17,73.5,77.38,105.28,84.98
"2351_02828",99.47,117.53,153.18,132.81,140.97,127.9,113.77,138.61,154.09,115.48
"2351_02829",108.16,113.01,99.06,113.68,112.54,121.38,123.84,109.69,91.88,93.69
"2351_02830",1099.03,1247.65,1270.41,1088.36,1152.63,1194.27,1223.33,1056.12,1000.16,1029.54
"2351_02831",464.53,431.7,672.35,814.86,749.86,572.7,485.3,846.09,1030.79,1097.09
"2351_02832",647.06,637.39,858.56,1145.76,1015.21,879.82,711.84,1164.97,1476.79,1437
"2351_02833",198.95,177.43,189.87,283.63,201.38,250.1,192.31,239.8,305.31,311.59
"2351_02834",1484.37,1925.72,2071.18,2834.01,3225.69,1411.79,1239.44,2357.14,2434.84,2689.88
"2351_02835",879.81,814.81,919.1,970.18,1017.58,933.59,840.72,933.67,903.5,893.36
"2351_02836",564,685.98,809.94,935.29,833.97,705.49,789.37,785.71,837.46,782.23
"2351_02837",338.98,362.77,429.28,506.48,462,401.62,455.1,478.74,475.68,468.47
"2351_02838",1638.89,1284.94,1602.46,1711.89,1573.16,1556.79,1611.97,1980.44,1706.5,1551.39
"2351_02839",1305.71,1108.64,1113.55,1286.45,1149.07,1111.18,1300.85,1596.94,1424.15,1208.21
"2351_02840",798.68,726.66,765,830.62,798.43,786.14,810.52,1024.66,915.94,930.4
"2351_02841",24672.24,24658.01,33931.32,37475.83,36500.22,29624.68,27904.93,42487.21,42950.51,43978.29
"2351_02842",34605.07,28422.43,36220.81,37260.86,33529.22,33987.93,35044.52,43214.25,45727.04,42159.98
"2351_02843",436.52,394.41,321.96,297.13,321.03,375.55,282.93,250.85,232.57,257.11
"2351_02844",23.18,28.25,32.1,19.13,22.51,35.84,26.18,25.51,30.63,26.15
"2351_02845",94.64,61.03,66.04,60.78,39.09,76.58,140.96,87.58,84.22,67.55
"2351_02846",22.21,16.95,16.51,6.75,5.92,15.48,15.1,17.01,14.36,9.81
"2351_02847",306.15,256.54,277.01,280.25,234.55,274.54,230.57,256.8,259.37,270.19
"2351_02848",86.92,115.27,118.33,114.8,114.91,96.13,130.89,139.46,135.91,124.2
"2351_02849",56.01,66.68,76.13,58.53,60.42,56.21,89.61,63.78,91.88,77.35
"2351_02850",149.69,210.2,188.96,194.71,167.03,194.7,196.34,188.78,196.2,191.75
"2351_02851",64.71,84.76,91.73,84.41,73.45,108.35,96.66,107.99,103.37,117.66
"2351_02852",1579.98,1523.4,1485.05,1519.43,1602.78,1548.65,1368.31,1304.42,1196.37,1294.28
"2351_02853",156.45,206.81,167.86,163.2,151.63,126.27,139.95,122.45,108.15,113.3
"2351_02854",1918,2203.73,2348.19,2692.2,2497.16,2225.62,2738.64,2565.47,2427.19,2436.04
"2351_02855",9.66,5.65,8.26,3.38,4.74,9.78,1.01,8.5,7.66,7.63
"2351_02856",246.27,162.74,175.2,184.58,283.12,220.77,186.27,2295.92,1929.5,1969.75
"2351_02857",1422.56,1199.05,1219.04,958.93,953.61,1367.79,1288.77,1379.25,1379.17,1369.45
"2351_02858",1764.44,1242,1138.32,913.91,1072.07,1147.02,1309.92,1409.86,1292.08,1377.08
"2351_02859",335.12,313.04,285.27,420.94,367.23,377.18,428.92,476.19,453.66,437.96
"2351_02860",68.57,103.97,83.47,99.04,103.06,105.09,105.72,93.54,103.37,90.43
"2351_02861",359.26,340.17,293.52,409.68,388.55,358.45,410.8,426.02,395.28,363.88
"2351_02862",86.92,85.89,75.22,117.05,103.06,126.27,91.62,108.84,107.19,91.51
"2351_02863",10.62,6.78,11.01,10.13,8.29,9.78,6.04,20.41,6.7,13.07
"2351_02864",5.79,6.78,7.34,3.38,4.74,7.33,7.05,12.76,16.27,16.34
"2351_02865",28.01,27.12,25.68,30.39,16.58,30.14,20.14,39.12,39.24,29.42
"2351_02866",16.42,2.26,12.84,5.63,10.66,1.63,7.05,13.61,16.27,16.34
"2351_02867",24.14,19.21,23.85,31.51,24.88,17.11,23.16,40.82,35.41,38.13
"2351_02868",13.52,4.52,11.01,12.38,10.66,8.15,6.04,14.46,15.31,11.98
"2351_02869",60.84,58.77,71.55,81.04,69.89,83.09,92.63,103.74,105.28,86.07
"2351_02870",69.53,82.5,94.48,78.79,66.34,93.68,103.71,95.24,91.88,82.8
"2351_02871",431.69,479.17,504.49,480.59,525.97,486.34,482.28,501.7,495.77,548
"2351_02872",250.13,278.01,330.21,309.51,351.83,280.24,304.07,303.57,352.21,284.35
"2351_02873",204.74,226.02,184.37,184.58,207.31,197.96,193.32,176.87,200.99,200.46
"2351_02874",512.82,376.33,377.91,361.29,332.88,432.58,385.62,395.41,386.67,431.43
"2351_02875",157.42,111.88,143.09,147.44,132.68,127.9,163.11,165.82,153.13,135.09
"2351_02876",696.31,619.3,604.48,635.91,677.6,667.2,673.58,787.41,805.87,726.67
"2351_02877",41.53,35.03,49.53,45.02,48.57,43.18,41.28,58.67,56.47,43.58
"2351_02878",248.2,201.16,216.47,226.23,213.23,238.69,216.47,351.19,367.52,329.02
"2351_02879",27.04,27.12,36.69,18.01,37.91,35.84,30.21,9791.66,6578.1,6785.17
"2351_02880",39.6,25.99,33.02,21.38,27.25,37.47,35.24,24766.14,16895.56,17521.81
"2351_02881",214.4,213.59,238.49,266.74,231,216.7,179.22,261.9,267.99,234.23
"2351_02882",721.42,810.29,750.32,822.74,753.41,791.02,859.85,820.58,735.05,689.63
"2351_02883",1228.45,1127.86,1112.64,1221.17,1208.3,1122.58,1082.37,1189.62,1003.99,1087.28
"2351_02884",74.36,53.12,42.19,59.65,46.2,57.84,50.34,53.57,47.85,63.19
"2351_02885",75.33,54.25,70.63,56.28,52.12,65.17,72.49,65.48,67,51.2
"2351_02886",12.55,9.04,13.76,10.13,9.48,15.48,22.15,16.16,11.49,10.89
"2351_02887",39.6,47.46,37.61,15.76,30.8,38.29,60.41,39.12,27.76,21.79
"2351_02888",34.77,23.73,27.52,22.51,20.14,22.81,38.26,25.51,30.63,20.7
"2351_02889",1177.26,1373.09,1597.87,1679.25,1485.5,1580.42,1559.61,1789.11,1903.66,1832.47
"2351_02890",715.63,737.97,769.58,904.9,905.04,847.23,804.48,826.53,868.08,871.57
"2351_02891",6269.71,6789.74,6651.98,7275.24,7298.39,6522.07,6724.77,6992.34,7045.16,6885.4
"2351_02892",81.12,155.96,121.08,150.82,163.48,105.9,140.96,125,136.86,136.18
"2351_02893",28533.34,37791.1,38144.3,39829.25,39569.55,33418.49,36571.91,31913.24,35431.59,35073.03
"2351_02894",61094.86,42056.16,34348.68,29664.85,32281.82,46908.25,36455.12,42427.69,39473.39,42718.87
"2351_02895",6217.55,6660.91,5753.06,6004.55,6476.27,4936.77,5301.08,4227.04,4018.83,4378.55
"2351_02896",1788.59,2264.75,2095.94,2060.79,2189.16,1984.48,2170.77,1630.1,1606,1504.55
"2351_02897",7.73,12.43,5.5,7.88,4.74,4.89,4.03,5.1,1.91,6.54
"2351_02901",1446.71,1532.44,1409.83,1361.86,1333.87,1466.37,1446.85,1298.47,1277.72,1306.26
"2351_02902",1408.08,1807.06,1874.88,2478.35,2593.11,1743.35,1653.25,1843.54,1866.33,1831.38
"2351_02903",13410.53,11823.28,11503.37,13183,13827.96,11996.51,10573.97,12196.42,12303.43,12364.3
"2351_02904",20659.51,18601.72,15662.23,13700.73,13698.84,15898.67,15694.82,16200.67,17376.98,17126.33
"2351_02905",445.21,589.92,584.3,633.66,581.64,518.12,653.45,822.28,620.2,589.4
"2351_02906",1043.99,1283.81,1367.64,1389.99,1348.09,1339.28,1262.59,1922.62,1278.68,1325.87
"2351_02907",4861.63,5555.65,4956.88,4868.92,5141.21,3894.83,4589.24,7271.25,4412.2,4878.61
"2351_02908",751.36,948.17,933.77,987.07,1171.58,865.16,893.08,559.52,519.7,490.26
"2351_02909",1682.35,2053.42,2009.72,2281.39,2211.67,1868.8,1961.35,1446.43,1335.14,1391.24
"2351_02910",331.26,620.43,579.71,456.95,464.37,496.94,565.85,459.18,556.07,578.5
"2351_02911",251.1,207.94,188.04,238.61,247.58,249.28,216.47,272.11,245.97,222.25
"2351_02912",15.45,15.82,22.01,21.38,15.4,22.81,22.15,28.06,36.37,22.88
"2351_02913",149.69,134.48,132.09,156.44,156.37,113.24,111.76,153.91,144.52,148.17
"2351_02914",2137.22,1795.76,1705.19,1190.78,1208.3,1772.67,1747.9,3421.77,3770.95,3788.06
"2351_02915",2029.06,1680.48,1799.67,1401.25,1318.47,1959.23,1972.42,4226.19,4791.21,4547.41
"2351_02916",449.08,329.99,374.24,249.86,245.21,364.96,452.08,928.57,1039.4,867.21
"2351_02917",953.2,491.6,581.54,381.55,390.92,692.45,605.12,1648.81,1730.42,1730.06
"2351_02918",12591.56,8875.94,9014.84,6484.02,6171.82,9828.73,7874.6,11960.87,12628.84,12146.41
"2351_02919",1312.47,926.7,795.27,746.21,774.74,1050.9,853.81,869.05,892.01,931.49
"2351_02920",12937.3,13852.97,12693.98,10991.65,11666.05,11146.83,10847.83,15513.59,13780.23,14699.01
"2351_02921",366.99,365.03,264.17,276.87,260.61,210.18,180.23,269.56,221.09,177.58
"2351_02922",458.74,534.55,462.3,514.35,527.15,511.6,503.43,578.23,569.47,605.74
"2351_02923",227.92,209.07,194.46,226.23,222.71,241.95,190.3,237.24,262.24,254.93
"2351_02924",3079.8,2203.73,1601.54,1218.92,1282.93,1858.21,1742.86,1730.44,1628.97,1747.5
"2351_02925",40120.51,24607.16,20112.78,12890.37,12830.52,26618.62,20592.15,30951.51,30553.28,29097.34
"2351_02926",1634.06,1379.87,1544.67,826.12,804.35,1537.24,1642.18,1614.79,1388.74,1216.93
"2351_02927",1697.8,1419.43,1695.1,795.73,611.26,1640.7,1819.38,1916.67,1822.31,1447.89
"2351_02928",3960.58,3689.83,4133.18,2442.34,1657.27,3880.98,4502.65,5062.92,4876.39,3676.93
"2351_02929",3419.75,2710.02,2713.26,1482.29,1262.79,3102.18,3375.98,3674.32,3559.43,2507.94
"2351_02930",4564.18,2776.7,2811.41,1672.5,1541.18,3508.69,3784.76,4397.96,4059.99,3042.87
"2351_02931",14337.65,5494.63,4950.46,2743.97,2529.14,8332.22,7181.88,9973.63,8091.26,6261.13
"2351_02932",112.99,101.71,66.96,72.03,71.08,76.58,73.5,62.93,58.38,81.71
"2351_02933",2131.43,2533.72,2508.71,2409.7,2519.67,2217.47,2229.17,2173.47,2220.46,2292.23
"2351_02934",7185.24,7225.97,5810.85,6222.9,6753.47,5504.58,5602.13,4167.51,3943.22,4599.71
"2351_02935",1765.41,2128.01,1905.15,2060.79,2196.27,1760.45,1873.75,1413.26,1398.31,1551.39
"2351_02936",7106.05,7943.59,7214.26,7986.56,8785.07,7120.02,7393.32,5841.83,5781.8,6323.23
"2351_02937",4447.32,3999.48,3531.46,4013.54,4423.34,3697.69,3333.69,2874.15,2820.55,3104.97
"2351_02938",1840.74,2045.51,1940.92,2274.64,2426.08,1942.94,1938.19,1610.54,1580.16,1593.88
"2351_02939",10621.41,10810.69,10198.11,11378.82,12530.81,10293.08,10321.25,9271.25,8559.28,9020.74
"2351_02940",3251.71,3721.47,3339.75,4006.79,4354.63,3305.84,3541.1,2867.34,2756.43,2786.84
"2351_02941",12662.06,12027.83,10544.83,12300.61,13691.73,10075.57,10053.43,8392.85,8325.75,9543.68
"2351_02942",10637.83,11582.56,10557.67,12138.54,13023.61,10693.88,10469.26,8696.42,8186.02,8927.05
"2351_02943",2208.69,2303.18,2141.8,2220.61,2428.45,2074.09,1972.42,1808.67,1629.93,1934.88
"2351_02944",3233.36,3184.67,2625.2,2898.17,3300.33,2751.07,2775.89,2146.26,2019.47,2085.23
"2351_02945",7146.61,6555.81,5524.66,5906.63,6858.9,5866.28,5870.96,4379.25,4007.35,4216.22
"2351_02946",1384.9,1305.28,1188.77,1415.88,1550.66,1202.42,1149.83,1017.01,890.1,987.05
"2351_02947",614.22,474.65,420.11,319.64,356.57,482.27,468.19,354.59,364.65,294.15
"2351_02948",2346.79,1412.65,1251.14,949.92,1022.32,1393.86,1348.18,1232.14,1097.79,1134.13
"2351_02949",244.34,172.91,105.49,83.29,99.51,152.34,141.97,111.39,86.14,71.9
"2351_02950",308.08,756.05,533.85,402.93,486.87,722.59,726.95,105.44,304.36,298.51
"2351_02951",362.16,280.27,279.76,273.5,326.95,197.96,187.27,386.9,230.66,256.02
"2351_02952",432.66,2109.93,1835.44,1702.88,1625.29,2456.16,2346.97,468.54,1510.29,1613.49
"2351_02953",58.91,412.49,416.44,425.44,388.55,457.02,614.18,90.99,371.35,414
"2351_02954",47.32,267.84,236.65,220.6,242.85,334.01,372.54,56.97,211.52,236.41
"2351_02955",140.04,421.53,370.57,366.91,347.09,413.84,435.97,96.09,240.23,308.32
"2351_02956",59.88,51.99,60.54,58.53,55.68,73.32,80.55,26.36,64.13,67.55
"2351_02957",28.01,35.03,42.19,40.52,43.83,48.06,51.35,24.66,43.07,39.22
"2351_02958",509.92,461.09,408.18,440.07,393.29,500.19,503.43,357.99,347.42,339.91
"2351_02959",434.59,424.92,359.57,354.53,380.26,364.96,363.47,286.56,265.11,317.03
"2351_02960",4.83,13.56,3.67,4.5,7.11,9.78,5.03,2.55,7.66,7.63
"2351_02961",1865.85,1871.47,1642.81,1920.11,1910.78,1768.6,1971.42,1978.74,1688.31,1687.58
"2351_02962",865.32,881.49,806.27,967.93,838.7,923,1088.41,1034.86,896.8,862.85
"2351_02963",4.83,1.13,2.75,2.25,0,3.26,5.03,2.55,0.96,4.36
"2351_02964",479.02,523.24,578.79,569.5,580.46,654.98,635.32,638.6,616.37,591.58
"2351_02965",19.32,18.08,13.76,25.89,21.32,19.55,24.16,9.35,9.57,20.7
"2351_02966",234.68,228.28,203.63,167.7,148.08,221.58,199.36,136.9,145.48,186.3
"2351_02967",513.78,426.05,388,409.68,441.86,562.92,589.01,381.8,351.25,369.33
"2351_02968",1377.17,952.69,920.01,990.44,1009.29,1515.25,1772.06,992.35,833.63,856.32
"2351_02969",293.59,157.09,180.7,195.84,162.29,296.53,306.08,194.73,194.29,178.67
"2351_02970",263.65,100.58,126.58,131.68,94.77,313.64,296.01,139.46,169.41,164.51
"2351_02971",249.17,466.74,474.22,445.7,517.67,377.18,384.62,281.46,340.73,380.22
"2351_02972",921.33,932.35,862.23,751.84,742.75,834.2,774.27,1034.01,1089.17,1110.16
"2351_02973",478.05,449.79,376.99,424.31,459.63,412.21,425.9,324.83,241.19,310.5
"2351_02974",53.12,37.29,49.53,47.27,61.6,58.65,43.29,33.16,38.28,32.68
"2351_02975",260.75,342.43,307.28,350.03,347.09,263.95,359.45,172.62,175.15,124.2
"2351_02976",1147.32,1308.67,1288.75,1455.27,1464.18,1239.08,1287.76,778.91,780.03,664.57
"2351_02977",800.61,785.43,803.52,662.92,592.31,861.08,750.11,1062.07,1166.7,1148.29
"2351_02978",335.12,318.69,306.37,263.37,238.11,365.78,389.65,358.84,326.37,357.34
"2351_02979",942.58,618.17,516.42,485.09,473.84,646.83,543.7,577.38,505.35,517.49
"2351_02980",313.87,276.88,246.74,267.87,247.58,258.24,290.98,302.72,322.54,290.89
"2351_02981",0.97,7.91,7.34,2.25,3.55,4.07,6.04,2.55,5.74,3.27
"2351_02982",14668.91,8472.48,8118.68,8050.71,7997.31,7471.14,7428.56,14056.11,7793.61,8405.19
"2351_02983",841.18,843.07,833.79,875.64,838.7,793.47,746.08,769.56,722.61,734.3
"2351_02984",266.55,239.58,227.48,226.23,304.44,261.5,216.47,253.4,269.9,230.97
"2351_02985",65.67,100.58,108.24,121.55,113.72,105.9,113.77,119.9,124.42,117.66
