"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_00001",180.85,188.57,186.55,186.51,183.47,178.33,180.73,185.56,189.84,197.25,159.37,164.41
"1617.00_00002",216.42,177.83,240.27,115.41,206.17,300.8,251.58,196.56,235.16,207.02,135.76,138.72
"1617.00_00003",174.8,150.38,114.91,131.9,149.42,120.32,117.11,145.22,137.18,126.17,197.73,241.48
"1617.00_00004",136.21,75.19,108.94,70.07,105.92,79.5,88.2,85.81,90.64,77.3,135.02,157.8
"1617.00_00005",97.61,64.45,86.56,74.19,66.2,73.05,75.18,77.01,71.04,68.41,104.03,104.22
"1617.00_00006",102.91,76.38,68.65,95.83,68.09,74.13,111.33,73.34,89.41,80.85,109.93,119.64
"1617.00_00007",115.02,64.45,59.7,52.55,63.36,73.05,63.62,65.27,53.89,80.85,102.55,97.62
"1617.00_00008",90.05,39.38,76.11,85.53,78.5,84.87,93.98,101.95,83.29,77.3,111.41,115.23
"1617.00_00009",133.94,165.89,120.88,141.17,125.78,124.62,104.1,120.28,128.6,103.95,151.99,137.25
"1617.00_00010",983.71,689.83,710.37,849.1,728.21,654.23,725.81,785.5,731.21,678.81,1247.63,1441.53
"1617.00_00011",15.13,8.35,8.95,13.4,16.08,12.89,13.01,14.67,8.57,15.1,16.97,26.42
"1617.00_00012",117.29,78.77,71.63,82.44,62.42,73.05,75.18,76.28,60.02,73.75,113.62,113.03
"1617.00_00013",233.82,162.31,180.58,203,174.01,204.11,195.19,184.82,173.92,169.7,221.34,222.39
"1617.00_00014",91.56,48.93,80.59,53.58,53.91,65.53,99.76,74.81,83.29,74.63,93.7,133.58
"1617.00_00015",149.83,64.45,120.88,116.44,105.92,103.13,153.26,135.68,118.81,139.49,121,135.79
"1617.00_00016",185.39,69.22,65.66,117.47,100.25,114.95,101.21,111.48,117.58,136.83,149.04,136.52
"1617.00_00017",867.93,605.09,664.11,693.5,711.19,695.06,841.48,738.56,707.94,751.67,785.02,856.55
"1617.00_00018",139.23,119.35,117.9,113.35,99.3,114.95,133.02,123.22,123.71,115.51,113.62,137.99
"1617.00_00019",81.72,37,73.13,96.86,91.74,95.61,91.09,93.88,73.49,66.64,101.82,93.21
"1617.00_00020",625.03,201.7,288.03,122.62,370.72,381.37,329.65,383.58,427.46,438.03,117.31,120.37
"1617.00_00021",919.39,478.58,450.7,223.61,515.42,428.64,474.23,511.93,522.99,608.62,258.97,281.85
"1617.00_00022",108.21,65.64,120.88,133.96,106.87,129.99,115.67,118.08,126.15,111.06,101.08,123.31
"1617.00_00023",1611.77,1889.27,1350.6,1363.3,1505.6,1353.59,1366.31,1586.4,1480.79,1647.28,1173.85,1058.39
"1617.00_00024",945.12,1012.07,674.55,716.17,773.6,770.26,806.78,782.57,771.63,841.41,670.66,590.12
"1617.00_00025",187.66,91.9,104.47,169,141.86,168.66,161.93,167.22,142.08,167.93,166.74,155.6
"1617.00_00026",151.34,107.41,77.6,84.5,82.28,99.91,91.09,94.61,86.96,122.61,93.7,102.02
"1617.00_00027",199.01,211.25,176.1,167.97,178.74,210.56,245.79,176.02,226.59,194.58,143.13,146.06
"1617.00_00028",174.04,322.24,358.17,283.38,290.34,325.51,248.68,289.7,260.88,272.77,125.43,118.17
"1617.00_00029",375.32,239.89,686.49,804.79,650.66,683.24,624.6,649.08,563.41,489.56,455.23,458
"1617.00_00030",200.53,260.18,208.93,162.81,212.79,189.07,209.65,238.36,214.34,191.92,188.88,206.98
"1617.00_00031",118.05,81.16,111.93,129.84,113.49,102.06,88.2,96.08,93.09,111.06,140.18,164.41
"1617.00_00032",123.34,99.06,92.53,134.99,112.54,102.06,79.52,119.55,99.21,96.85,183.71,173.95
"1617.00_00033",152.1,140.83,176.1,206.09,188.2,142.88,186.51,159.89,188.62,169.7,214.7,211.38
"1617.00_00034",196.74,253.02,207.44,195.79,244.94,208.41,205.31,233.96,226.59,223.01,204.37,212.85
"1617.00_00035",23.46,32.22,56.71,38.13,44.45,35.45,36.15,40.34,36.74,37.32,34.68,42.57
"1617.00_00036",1246.28,698.18,617.84,688.35,733.88,595.15,764.85,793.57,750.81,802.32,1343.54,1536.94
"1617.00_00037",1931.1,1982.36,1384.92,1541.57,1546.26,1253.68,1227.51,1549,1428.12,1526.44,2113.81,2299.55
"1617.00_00038",430.56,644.48,668.58,828.49,676.19,633.82,617.37,565.47,580.56,673.48,582.87,580.57
"1617.00_00039",297.38,496.49,277.58,305.02,274.26,262.12,280.49,290.44,242.51,264.77,337.18,307.54
"1617.00_00040",154.37,99.06,162.67,179.3,183.47,138.58,177.84,187.76,166.57,146.6,177.07,212.12
"1617.00_00041",230.79,182.6,291.01,128.81,275.21,278.24,253.02,275.03,263.33,255.89,119.52,116.7
"1617.00_00042",108.21,152.76,123.87,106.14,106.87,69.83,91.09,112.21,128.6,114.62,93.7,96.88
"1617.00_00043",363.97,224.37,198.49,149.42,253.45,163.29,151.81,254.5,216.79,284.32,252.33,266.43
"1617.00_00044",436.62,1353.4,955.12,1101.56,689.43,1065.68,767.74,634.41,721.41,595.3,504.66,519.65
"1617.00_00045",3.03,17.9,16.42,11.34,10.4,11.82,18.8,6.6,8.57,12.44,12.54,14.68
"1617.00_00046",1496,796.05,732.76,873.83,801.03,886.28,951.36,905.78,974.94,972.02,1170.16,1169.22
"1617.00_00047",1423.35,636.12,532.78,662.59,553.25,643.49,744.61,674.02,696.91,759.67,1266.81,1310.15
"1617.00_00048",1278.82,476.2,449.21,536.87,452.06,570.44,699.78,569.87,516.87,615.73,1081.62,1214.73
"1617.00_00049",333.7,241.08,155.21,203,165.5,233.12,224.1,200.96,209.44,152.82,273.73,292.86
"1617.00_00050",565.25,202.89,262.66,320.47,269.53,321.21,410.62,330.78,274.36,311.86,573.27,673.06
"1617.00_00051",1122.94,605.09,796.93,794.49,748.07,901.32,1262.21,871.31,813.27,816.53,1156.88,1374
"1617.00_00052",514.56,325.82,389.51,383.33,338.57,437.23,540.74,399.72,378.46,396.27,455.23,581.31
"1617.00_00053",371.54,389.07,229.83,230.82,213.73,272.87,276.15,217.83,208.22,239.9,275.2,314.14
"1617.00_00054",323.11,192.15,211.92,230.82,173.07,238.49,277.6,199.49,227.81,205.24,287.74,353.04
"1617.00_00055",101.4,65.64,58.2,72.13,63.36,85.94,111.33,76.28,66.14,77.3,102.55,113.77
"1617.00_00056",649.25,298.37,540.24,644.04,482.32,654.23,805.33,555.2,491.15,515.33,683.95,764.07
"1617.00_00057",589.47,249.44,388.02,567.78,373.56,523.17,636.17,442.99,401.74,454.91,637.46,664.25
"1617.00_00058",467.64,208.86,429.8,477.1,408.55,447.97,673.76,444.46,399.29,422.93,495.07,606.26
"1617.00_00059",36.32,143.22,77.6,50.49,70.93,63.38,49.16,69.68,71.04,63.08,28.77,24.96
"1617.00_00060",19.67,22.68,11.94,13.4,16.08,15.04,8.68,13.2,18.37,19.55,13.28,11.74
"1617.00_00061",65.83,354.46,125.36,107.17,131.46,109.58,98.32,103.41,118.81,100.4,64.19,59.45
"1617.00_00062",166.47,184.99,188.04,180.33,176.85,149.32,131.57,183.36,186.17,195.47,184.45,157.8
"1617.00_00063",371.54,507.23,282.06,328.72,313.98,315.84,280.49,302.91,318.45,297.65,271.51,267.9
"1617.00_00064",3090.36,5036.47,3842.87,6062.2,4406.14,3462.39,3325.42,4209.87,4313.76,4186.61,5005.27,4695.24
"1617.00_00065",601.58,301.95,440.25,424.55,458.68,606.97,565.32,491.4,469.1,463.8,605.74,622.41
"1617.00_00066",146.04,41.77,83.57,112.32,88.9,91.31,141.69,110.01,86.96,84.41,145.35,148.26
"1617.00_00067",56,22.68,29.85,37.1,36.88,56.94,62.17,38.14,46.54,43.54,56.81,62.39
"1617.00_00068",169.5,130.09,108.94,150.45,97.41,170.81,174.95,117.35,101.66,104.84,181.5,204.78
"1617.00_00069",99.88,25.06,55.22,59.77,55.8,70.9,125.79,65.27,53.89,69.3,84.11,104.22
"1617.00_00070",133.94,35.8,55.22,79.35,64.31,90.24,111.33,67.48,80.84,84.41,103.29,131.38
"1617.00_00071",361.7,1056.23,537.26,460.62,500.29,585.48,565.32,496.53,412.76,442.47,289.96,253.22
"1617.00_00072",31.02,32.22,32.83,30.91,31.21,21.49,36.15,34.47,24.5,34.65,30.25,29.36
"1617.00_00073",41.62,32.22,32.83,53.58,42.56,37.6,41.93,36.67,39.19,35.54,40.58,35.96
"1617.00_00074",275.44,340.14,305.94,299.86,291.28,249.23,228.44,291.17,297.63,276.32,245.69,206.98
"1617.00_00075",150.58,60.87,92.53,79.35,97.41,92.39,111.33,113.68,96.76,108.4,140.18,144.59
"1617.00_00076",336.73,249.44,214.9,237.01,211.84,201.96,150.37,244.23,200.87,229.23,263.4,319.28
"1617.00_00077",115.78,75.19,73.13,79.35,69.04,65.53,52.05,60.14,64.91,56.86,121.74,97.62
"1617.00_00078",309.49,237.5,253.7,249.37,229.81,206.26,206.75,239.83,251.08,271.88,278.15,305.33
"1617.00_00079",40.86,79.96,92.53,45.34,69.04,59.09,69.4,71.14,111.46,104.84,36.89,25.69
"1617.00_00080",118.8,127.7,122.37,124.69,124.84,108.5,118.56,124.68,155.55,103.95,77.47,91.75
"1617.00_00081",24.97,46.55,46.26,31.94,41.61,34.38,26.03,49.87,35.52,39.98,33.2,29.36
"1617.00_00082",105.18,39.38,82.08,104.08,96.46,85.94,93.98,90.94,74.71,70.19,116.57,129.91
"1617.00_00083",6.05,8.35,5.97,3.09,5.67,7.52,8.68,5.13,7.35,0,1.48,2.2
"1617.00_00084",15.89,15.52,11.94,5.15,12.29,11.82,4.34,16.87,13.47,13.33,15.49,12.48
"1617.00_00085",9.84,13.13,5.97,9.27,5.67,10.74,5.78,6.6,15.92,8.89,11.8,7.34
"1617.00_00086",15.13,27.45,16.42,20.61,14.19,19.34,7.23,12.47,4.9,15.99,7.38,11.01
"1617.00_00087",21.94,31.03,23.88,21.64,21.75,18.26,14.46,18.34,30.62,23.99,21.4,14.68
"1617.00_00088",70.37,83.54,59.7,35.04,61.47,69.83,52.05,58.67,67.36,51.53,155.68,127.71
"1617.00_00089",52.21,48.93,71.63,47.4,45.39,38.67,59.28,49.14,36.74,30.21,83.37,101.29
"1617.00_00090",56.75,26.26,55.22,31.94,39.72,46.19,57.83,34.47,25.72,23.1,75.26,97.62
"1617.00_00091",511.53,558.55,505.92,525.54,525.82,472.68,558.09,440.06,393.16,376.72,738.54,797.1
"1617.00_00092",1377.95,3791.67,2689.26,2789.46,2666.95,2552.48,2465.15,2191.48,2286.71,1934.27,2499.68,2301.01
"1617.00_00093",19.67,188.57,91.03,111.29,41.61,74.13,59.28,52.07,55.12,49.76,28.77,22.75
"1617.00_00094",1.51,7.16,17.91,6.18,10.4,7.52,10.12,3.67,9.8,4.44,6.64,5.14
"1617.00_00095",31.02,44.16,32.83,35.04,45.39,42.97,34.7,34.47,34.29,31.1,25.09,25.69
"1617.00_00096",49.19,47.74,80.59,71.1,67.15,66.61,73.74,62.34,66.14,51.53,43.53,44.77
"1617.00_00097",402.56,253.02,347.72,372,400.99,362.03,354.23,402.65,347.84,394.49,384.4,338.36
"1617.00_00098",20.43,11.93,22.39,21.64,22.7,21.49,36.15,24.94,26.95,34.65,36.15,41.84
"1617.00_00099",589.47,550.19,405.93,420.43,475.7,369.55,413.51,500.2,480.12,511.78,592.46,607.73
"1617.00_00100",858.85,538.26,456.67,423.52,490.83,360.96,448.21,551.54,515.64,602.4,889.79,1022.43
"1617.00_00101",40.11,59.67,44.77,40.19,48.23,54.79,60.73,49.87,41.64,47.09,31.73,35.96
"1617.00_00102",77.18,51.32,50.74,43.28,60.53,41.9,46.27,50.61,58.79,54.2,74.52,93.95
"1617.00_00103",1667.77,1069.35,938.7,1013.97,1060.16,1011.97,1108.96,1200.62,1154.99,1128.4,1747.86,1858.43
"1617.00_00104",15.13,21.48,26.86,24.73,21.75,30.08,34.7,38.87,29.4,24.88,13.28,16.88
"1617.00_00105",2.27,1.19,1.49,3.09,0,1.07,0,2.2,1.22,0.89,0.74,2.94
"1617.00_00106",6.05,13.13,14.92,15.46,17.02,6.45,8.68,11.73,11.02,18.66,13.28,12.48
"1617.00_00107",15.89,14.32,22.39,18.55,19.86,24.71,20.24,18.34,18.37,16.88,15.49,8.81
"1617.00_00108",3.78,8.35,7.46,9.27,8.51,15.04,2.89,8.07,6.12,8,5.9,8.81
"1617.00_00109",2.27,4.77,5.97,3.09,3.78,4.3,5.78,5.87,7.35,2.67,2.21,2.2
"1617.00_00110",14.38,21.48,13.43,6.18,14.19,13.97,14.46,9.53,9.8,3.55,9.59,13.21
"1617.00_00111",75.67,147.99,95.51,41.22,82.28,76.27,53.5,78.48,93.09,72.86,50.17,38.9
"1617.00_00112",743.08,617.03,576.06,704.84,647.82,722.99,670.87,614.61,801.02,725.9,555.57,540.21
"1617.00_00113",1985.58,3724.84,1929.64,2035.16,2195.97,1916.51,1721.99,2109.33,2170.35,2278.12,1710.97,1523.73
"1617.00_00114",1713.93,2848.83,2060.97,1862.04,1974.68,2091.62,1836.21,1925.24,1941.31,1920.05,1482.99,1454.01
"1617.00_00115",48061.79,64416.63,57595.25,39013.26,69591.22,53059.59,52295.88,67524.36,67351.99,73578.5,33460.94,29626.19
"1617.00_00116",93.83,41.77,53.73,58.74,47.29,45.12,62.17,52.07,58.79,62.2,84.85,87.34
"1617.00_00117",113.5,75.19,131.33,128.81,125.78,131.06,143.14,126.88,104.11,105.73,121.74,152.67
"1617.00_00118",49.19,39.38,44.77,65.95,51.07,48.34,44.82,39.61,35.52,46.2,53.86,66.06
"1617.00_00119",180.09,113.38,153.71,131.9,149.42,154.7,144.58,170.15,182.5,186.59,161.58,170.28
"1617.00_00120",136.21,82.35,91.03,89.65,100.25,95.61,125.79,129.82,109.01,109.29,177.07,222.39
"1617.00_00121",316.3,285.24,228.33,196.82,296.96,158.99,189.4,316.84,297.63,315.42,337.18,308.27
"1617.00_00122",5.3,5.97,16.42,9.27,8.51,5.37,5.78,5.87,1.22,8,7.38,8.81
"1617.00_00123",0,168.28,234.3,183.42,217.52,0,0,0,0,0,188.14,218.72
"1617.00_00124",0,22.68,41.79,19.58,26.48,0,0,0,0,0,29.51,28.63
"1617.00_00125",0,424.88,561.13,266.89,404.77,1.07,0,0,0,0,427.93,472.68
"1617.00_00126",0,21.48,77.6,31.94,55.8,0,0,0,0,0,39.84,43.3
"1617.00_00127",0,64.45,158.19,89.65,113.49,0,0,0,0,0,84.85,87.34
"1617.00_00128",0,34.61,58.2,31.94,44.45,0,0,0,0,0,42.05,45.51
"1617.00_00129",0,180.21,189.53,155.6,167.39,0,0,0,0,0,133.54,149
"1617.00_00130",332.95,100.25,144.76,87.59,98.36,639.19,738.82,550.07,558.51,511.78,98.87,82.21
"1617.00_00131",125.61,14.32,23.88,32.97,26.48,191.22,187.96,154.75,148.2,129.72,26.56,41.1
"1617.00_00132",193.72,28.64,71.63,46.37,52.01,346.99,325.31,343.24,289.05,320.75,60.5,49.91
"1617.00_00133",13.62,2.39,7.46,10.3,8.51,46.19,52.05,38.87,30.62,45.31,9.59,0.73
"1617.00_00134",110.48,19.1,17.91,26.79,14.19,96.68,99.76,94.61,95.53,125.28,24.35,27.16
"1617.00_00135",233.82,27.45,83.57,68.01,67.15,348.07,397.6,318.31,262.11,326.08,74.52,72.66
"1617.00_00136",136.96,27.45,11.94,27.82,20.81,151.47,146.03,166.49,116.36,154.6,28.04,32.29
"1617.00_00137",531.2,119.35,176.1,116.44,131.46,685.39,626.05,615.34,662.62,597.96,123.95,121.84
"1617.00_00138",99.88,124.12,125.36,126.75,130.51,110.65,83.86,96.08,113.91,103.95,122.48,124.78
"1617.00_00139",136.96,218.41,188.04,128.81,211.84,213.78,140.25,154.75,149.43,154.6,107.72,115.97
"1617.00_00141",2127.84,5776.42,3714.52,3026.46,3400.83,3617.09,3201.08,2916.84,3466.2,3535.34,1713.18,1606.67
"1617.00_00142",164.2,324.63,211.92,188.57,221.3,203.04,154.7,198.76,220.46,231.01,145.35,126.98
"1617.00_00143",3.78,3.58,5.97,2.06,0.95,2.15,4.34,2.2,3.67,1.78,2.21,5.14
"1617.00_00144",0.76,0,0,0,0.95,3.22,2.89,2.93,2.45,0.89,1.48,0.73
"1617.00_00145",0.76,0,1.49,3.09,3.78,2.15,0,0,0,0.89,2.21,0.73
"1617.00_00146",6.05,1.19,2.98,0,0.95,4.3,4.34,2.93,3.67,1.78,2.21,3.67
"1617.00_00148",0.76,2.39,2.98,5.15,4.73,6.45,4.34,2.93,0,3.55,7.38,6.61
"1617.00_00149",73.4,58.48,82.08,85.53,39.72,51.57,72.29,63.07,52.67,53.31,51.65,63.12
"1617.00_00150",25.73,27.45,29.85,45.34,22.7,30.08,49.16,15.4,24.5,25.77,33.94,19.82
"1617.00_00151",376.08,446.36,340.26,333.87,364.1,357.73,386.04,324.91,349.07,355.4,289.96,298.73
"1617.00_00152",6.05,4.77,2.98,8.24,1.89,8.59,13.01,2.93,7.35,3.55,6.64,5.14
"1617.00_00153",8.32,4.77,4.48,16.49,4.73,9.67,11.57,7.33,7.35,9.77,11.07,11.01
"1617.00_00154",5.3,5.97,1.49,5.15,2.84,6.45,10.12,5.13,3.67,2.67,4.43,2.94
"1617.00_00155",7.57,9.55,13.43,11.34,7.57,11.82,8.68,3.67,6.12,5.33,3.69,2.2
"1617.00_00156",3.78,4.77,11.94,13.4,2.84,8.59,8.68,5.87,3.67,8,2.21,6.61
"1617.00_00157",7.57,5.97,7.46,12.37,7.57,8.59,15.9,5.13,6.12,6.22,6.64,8.81
"1617.00_00158",6.81,14.32,0,11.34,12.29,16.11,8.68,8.8,4.9,8.89,8.85,12.48
"1617.00_00159",2077.9,2163.77,5548.65,5507.81,4987.76,5027.61,4363.53,4269.27,4317.44,4336.77,2884.82,2267.25
"1617.00_00160",4127.04,4680.81,4275.66,4553.61,4613.25,5064.14,4820.42,4580.25,4852.67,5267.03,3442.6,3170.04
"1617.00_00161",35.56,47.74,64.17,108.2,39.72,85.94,91.09,35.2,52.67,36.43,34.68,35.96
"1617.00_00162",4.54,5.97,10.45,11.34,3.78,10.74,7.23,0,6.12,3.55,2.21,1.47
"1617.00_00163",15.13,10.74,20.89,29.88,12.29,20.41,39.04,13.2,11.02,10.66,12.54,7.34
"1617.00_00164",18.16,17.9,28.36,42.25,12.29,21.49,36.15,16.87,12.25,11.55,12.54,11.74
"1617.00_00165",651.52,2471.69,1205.84,977.91,925.87,1314.91,1155.22,844.17,1088.85,982.68,370.38,394.88
"1617.00_00166",16.65,22.68,31.34,23.7,2.84,22.56,21.69,10.27,12.25,10.66,12.54,13.21
"1617.00_00167",37.83,23.87,97,82.44,41.61,76.27,112.78,38.87,61.24,42.65,22.13,19.82
"1617.00_00168",2.27,8.35,7.46,9.27,2.84,6.45,17.35,2.93,4.9,2.67,4.43,4.4
"1617.00_00169",47.67,44.16,76.11,112.32,32.15,71.98,93.98,32.27,26.95,23.1,25.09,22.75
"1617.00_00170",86.26,102.64,205.95,210.21,86.06,174.03,253.02,104.15,106.56,74.63,65.66,49.91
"1617.00_00171",20.43,19.1,32.83,50.49,17.02,41.9,57.83,30.07,22.05,15.1,14.02,13.95
"1617.00_00172",5.3,19.1,20.89,25.76,6.62,19.34,17.35,9.53,18.37,10.66,6.64,2.2
"1617.00_00173",27.24,29.84,47.76,45.34,14.19,44.05,49.16,29.34,24.5,18.66,7.38,16.15
"1617.00_00174",15.13,10.74,32.83,30.91,7.57,27.93,39.04,15.4,19.6,8.89,6.64,9.54
"1617.00_00175",19.67,14.32,52.23,57.71,29.32,42.97,98.32,37.4,40.42,23.1,14.76,16.15
"1617.00_00176",12.11,9.55,32.83,27.82,16.08,35.45,44.82,16.14,23.27,15.1,13.28,10.28
"1617.00_00177",8.32,3.58,20.89,21.64,9.46,13.97,17.35,9.53,6.12,13.33,0.74,6.61
"1617.00_00178",48.43,37,110.44,151.48,51.07,99.91,176.39,69.68,53.89,54.2,33.94,27.16
"1617.00_00179",11.35,10.74,20.89,22.67,9.46,36.53,21.69,8.8,9.8,7.11,10.33,5.87
"1617.00_00180",15.89,13.13,19.4,37.1,14.19,27.93,30.36,19.8,17.15,15.1,15.49,24.96
"1617.00_00181",15.13,15.52,29.85,31.94,14.19,35.45,40.48,15.4,17.15,20.44,16.97,18.35
"1617.00_00182",581.9,2308.18,1471.48,1310.75,1323.07,1266.57,1149.44,1094.27,1124.37,1213.69,592.46,479.29
"1617.00_00183",40.11,34.61,41.79,52.55,19.86,31.15,39.04,34.47,47.77,28.43,32.46,22.75
"1617.00_00184",61.29,74,108.94,114.38,68.09,105.28,133.02,47.67,62.47,55.09,50.91,39.63
"1617.00_00185",15.13,35.8,56.71,34.01,20.81,46.19,34.7,20.54,25.72,17.77,11.07,15.41
"1617.00_00186",237.6,1004.91,486.51,395.7,429.36,467.31,354.23,348.38,385.81,339.41,166.01,165.14
"1617.00_00187",51.46,52.51,56.71,68.01,39.72,56.94,47.71,53.54,47.77,41.76,39.84,36.7
"1617.00_00188",7.57,9.55,14.92,14.43,6.62,11.82,10.12,6.6,7.35,7.11,11.07,11.01
"1617.00_00189",18.92,13.13,28.36,31.94,18.91,18.26,21.69,20.54,19.6,22.21,27.3,22.75
"1617.00_00190",1323.47,1874.95,2775.82,2206.22,1727.84,2883.36,2505.63,1506.46,1752.7,1352.3,964.31,857.28
"1617.00_00191",4160.34,8910.49,6735.09,4348.55,5820.94,7717.6,6740.49,5177.99,5940.3,6412.31,2445.82,2324.5
"1617.00_00192",4618.9,7271.84,7394.72,4911.18,6345.82,8720.98,7619.55,5418.55,6540.46,6924.97,2754.96,2759.01
"1617.00_00193",378.35,500.07,625.31,863.53,605.26,476.98,644.84,479.66,518.09,526.88,526.06,544.61
"1617.00_00194",2.27,1.19,13.43,2.06,0.95,9.67,7.23,5.87,1.22,2.67,1.48,0.73
"1617.00_00195",68.86,121.73,170.13,149.42,134.29,185.85,173.5,145.95,144.53,155.49,108.46,104.96
"1617.00_00196",19.67,2.39,20.89,36.07,20.81,31.15,36.15,20.54,18.37,17.77,14.02,12.48
"1617.00_00197",597.79,471.42,462.64,521.41,486.1,510.28,498.81,506.8,478.9,503.78,552.62,551.95
"1617.00_00198",176.31,361.62,214.9,209.18,214.68,232.04,189.4,251.57,238.84,231.01,190.35,204.78
"1617.00_00199",481.26,478.58,374.59,323.56,439.76,370.63,412.06,478.19,516.87,455.8,434.57,406.62
"1617.00_00200",1674.58,1070.55,877.52,964.51,1202.96,886.28,990.4,1532.86,1339.94,1263.45,1737.53,1597.13
"1617.00_00201",82.48,45.35,55.22,47.4,42.56,50.49,56.39,67.48,51.44,54.2,71.57,80.74
"1617.00_00202",133.18,82.35,108.94,147.36,122.94,123.54,147.48,123.22,113.91,115.51,156.41,188.63
"1617.00_00203",141.5,75.19,116.41,130.87,111.6,116.02,130.13,143.02,106.56,130.61,175.6,179.82
"1617.00_00204",910.31,1039.52,1605.8,476.07,1530.18,1585.63,1348.96,1252.69,1216.23,1482.91,422.76,390.47
"1617.00_00205",188.42,179.02,141.78,154.57,144.7,143.95,180.73,156.22,166.57,182.14,185.19,194.5
"1617.00_00206",52.21,39.38,64.17,70.07,73.77,69.83,76.63,67.48,78.39,63.08,53.12,51.38
"1617.00_00207",89.29,89.51,131.33,122.62,120.11,131.06,96.87,142.28,104.11,118.17,85.59,94.68
"1617.00_00208",247.44,261.37,270.12,210.21,298.85,325.51,268.93,291.17,262.11,250.56,229.46,210.65
"1617.00_00209",307.22,392.65,292.51,253.49,348.03,339.47,351.34,286.04,382.14,329.63,252.33,240.74
"1617.00_00210",3694.97,6194.14,4920.36,3498.42,4801.45,5681.85,4992.47,4543.58,5278.91,4793.46,2180.21,1988.34
"1617.00_00211",146.8,152.76,134.31,140.14,136.18,179.4,185.07,143.02,138.4,159.93,126.9,112.3
"1617.00_00212",65.83,48.93,70.14,74.19,60.53,54.79,56.39,66.01,83.29,55.98,87.8,91.75
"1617.00_00213",353.38,291.21,311.91,82.44,326.28,294.35,280.49,308.77,362.54,330.52,109.93,136.52
"1617.00_00214",341.27,245.86,201.47,205.06,230.76,215.93,229.89,276.5,230.26,269.22,316.52,264.97
"1617.00_00215",26.48,22.68,26.86,13.4,29.32,26.86,26.03,44.01,39.19,30.21,12.54,32.29
"1617.00_00216",35.56,7.16,22.39,21.64,20.81,17.19,24.58,30.8,17.15,20.44,28.04,39.63
"1617.00_00217",39.35,34.61,34.32,23.7,48.23,35.45,69.4,49.14,41.64,46.2,38.37,66.79
"1617.00_00218",126.37,110.99,147.75,131.9,143.75,126.76,133.02,126.15,124.93,139.49,156.41,168.08
"1617.00_00219",231.55,174.25,282.06,261.74,244.94,258.9,312.3,215.63,243.74,272.77,209.54,222.39
"1617.00_00220",13.62,45.35,71.63,11.34,38.77,31.15,27.47,24.2,31.84,27.54,8.12,8.81
"1617.00_00221",15.13,31.03,16.42,10.3,30.26,11.82,14.46,17.6,19.6,18.66,9.59,13.95
"1617.00_00222",24.97,37,23.88,28.85,25.53,40.82,23.13,39.61,36.74,26.66,28.04,27.16
"1617.00_00223",28.75,153.96,95.51,38.13,69.04,62.31,49.16,72.61,53.89,68.41,30.99,27.16
"1617.00_00224",3.78,1.19,2.98,2.06,1.89,3.22,2.89,0,3.67,2.67,0,2.94
"1617.00_00225",6.05,20.29,16.42,10.3,14.19,17.19,14.46,16.14,13.47,9.77,8.12,6.61
"1617.00_00226",118.8,62.06,73.13,90.68,82.28,83.79,83.86,73.34,84.51,91.52,130.59,110.83
"1617.00_00227",115.78,94.28,92.53,109.23,72.82,73.05,66.51,69.68,78.39,95.96,124.69,118.17
"1617.00_00228",45.4,33.42,55.22,61.83,48.23,61.23,52.05,38.87,53.89,63.08,69.35,63.86
"1617.00_00229",188.42,87.12,125.36,112.32,137.13,157.92,157.6,123.95,156.77,122.61,159.37,174.69
"1617.00_00230",578.88,312.69,534.27,723.38,510.69,562.92,626.05,588.94,597.7,565.97,752.56,782.42
"1617.00_00231",1113.86,693.41,556.66,722.35,611.88,631.67,747.5,734.16,732.43,743.67,1370.84,1324.09
"1617.00_00232",164.96,138.44,120.88,95.83,113.49,135.36,117.11,126.88,124.93,117.28,144.61,144.59
"1617.00_00233",499.42,297.18,232.81,280.29,280.88,224.52,192.3,319.04,300.08,303.87,559.26,560.76
"1617.00_00234",76.43,15.52,49.25,50.49,50.12,39.75,54.94,67.48,45.32,56.86,104.77,93.95
"1617.00_00235",83.24,69.22,65.66,64.92,61.47,55.86,54.94,63.81,60.02,63.08,77.47,85.88
"1617.00_00236",2428.25,2567.17,1517.75,1607.52,1602.06,1604.97,1713.32,1801.29,1693.9,1519.34,2554.28,2416.25
"1617.00_00237",376.08,398.62,283.55,309.14,281.83,279.31,316.64,259.63,226.59,240.78,343.08,347.17
"1617.00_00238",134.69,127.7,164.16,186.51,125.78,169.74,225.55,145.95,161.67,135.94,164.53,161.47
"1617.00_00239",142.26,398.62,271.61,134.99,257.24,230.97,185.07,222.96,264.56,211.46,94.44,87.34
"1617.00_00240",56,83.54,111.93,20.61,58.63,62.31,53.5,64.54,63.69,61.31,18.45,15.41
"1617.00_00241",31.02,51.32,34.32,32.97,51.07,50.49,41.93,41.81,36.74,41.76,16.23,23.49
"1617.00_00242",74.16,107.41,102.97,107.17,89.84,99.91,70.85,94.61,100.43,106.62,61.24,78.54
"1617.00_00243",85.51,58.48,141.78,124.69,98.36,94.54,141.69,109.28,117.58,98.62,121.74,129.91
