"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_02653",103556.65,94230.84,60541.2,12688.07,43930.85,81212.08,91968.17,33815.35,32002.91,38999.84,8487.71,8685.13
"1617.00_02654",6731.6,9522.74,9557.17,3000.7,6702.36,11784.81,12254.9,4527.44,4719.17,5990.27,1384.86,1280.79
"1617.00_02655",2677.2,5194,2998.18,707.93,2092.89,3235.72,3517.72,1414.05,1500.39,1834.75,374.07,374.33
"1617.00_02656",1801.7,2008.62,1486.41,415.28,1134.87,1701.65,1869.47,825.84,809.6,1093.74,231.67,193.04
"1617.00_02657",1887.21,1417.85,1434.17,457.52,1188.78,1687.69,2032.85,855.91,790,1203.03,301.02,258.36
"1617.00_02658",115.78,76.38,85.07,105.11,115.38,92.39,143.14,100.48,101.66,115.51,124.69,153.4
"1617.00_02659",243.66,156.35,158.19,171.06,166.45,150.4,215.43,177.49,175.15,175.03,204.37,218.72
"1617.00_02660",388.94,344.91,319.37,357.57,353.7,322.28,294.95,335.91,314.77,381.17,374.07,358.91
"1617.00_02661",106.69,87.12,82.08,82.44,81.33,67.68,82.41,77.74,85.74,81.74,88.54,137.99
"1617.00_02663",0.76,0,0,2.06,0.95,3.22,2.89,5.87,1.22,0,2.21,0.73
"1617.00_02664",103.67,201.7,102.97,74.19,107.81,94.54,89.64,96.08,120.03,108.4,62.71,68.99
"1617.00_02665",24.97,52.51,52.23,36.07,50.12,38.67,26.03,36.67,51.44,38.21,16.97,29.36
"1617.00_02666",21.19,68.03,26.86,22.67,31.21,33.3,18.8,23.47,25.72,32.87,22.87,12.48
"1617.00_02667",12.11,34.61,13.43,12.37,16.08,23.63,11.57,22,14.7,14.22,14.02,9.54
"1617.00_02668",12.86,85.93,50.74,42.25,36.88,38.67,36.15,43.27,51.44,37.32,25.09,25.69
"1617.00_02669",432.08,428.46,447.71,757.39,561.76,322.28,335.43,484.06,458.08,504.67,858.07,936.55
"1617.00_02670",372.3,525.13,431.3,705.87,506.91,358.81,284.83,454.72,466.65,433.59,646.32,619.48
"1617.00_02671",323.87,219.6,195.5,225.67,251.56,181.55,176.39,242.76,267.01,280.77,413.17,504.98
"1617.00_02672",656.06,694.6,482.04,557.48,597.7,402.85,362.9,640.28,575.66,651.27,818.96,838.2
"1617.00_02673",317.06,299.56,271.61,457.52,356.54,241.71,225.55,361.58,342.95,333.19,419.81,449.19
"1617.00_02674",561.47,578.84,599.94,726.48,452.06,658.53,741.71,498,552.39,533.1,478.1,427.17
"1617.00_02675",3.03,3.58,5.97,5.15,5.67,2.15,2.89,5.87,4.9,1.78,2.21,2.94
"1617.00_02676",1187.26,588.38,870.06,1094.35,828.46,917.43,1161.01,1009.93,886.76,884.95,1491.1,1575.85
"1617.00_02677",59.02,78.77,61.19,91.71,73.77,88.09,91.09,63.81,71.04,62.2,70.09,49.18
"1617.00_02681",0.76,2.39,4.48,5.15,3.78,1.07,2.89,2.93,2.45,3.55,4.43,1.47
"1617.00_02684",12.11,29.84,17.91,26.79,30.26,23.63,15.9,15.4,18.37,17.77,15.49,13.95
"1617.00_02685",2494.08,6852.93,5232.27,26503.46,4722.95,5835.47,5484.06,3810.88,3810.37,3617.97,14891.12,12443.09
"1617.00_02686",1844.83,1663.7,2084.85,1475.62,2283.93,1725.29,1992.36,1955.31,1918.04,1963.59,1464.54,1489.24
"1617.00_02687",2125.57,3764.22,5081.54,2467.95,4740.92,4347.6,3843.03,3802.08,3923.05,4035.57,1738.27,1566.3
"1617.00_02688",953.44,1287.76,871.55,716.17,877.63,857.27,799.55,850.04,766.73,830.75,773.96,780.22
"1617.00_02689",56,100.25,116.41,98.92,78.5,90.24,99.76,83.61,107.78,109.29,73.04,66.06
"1617.00_02690",619.74,501.26,583.52,924.32,601.48,548.96,481.46,606.54,658.94,620.17,903.07,956.37
"1617.00_02691",77.18,21.48,65.66,72.13,84.17,66.61,78.08,77.74,64.91,70.19,120.26,132.12
"1617.00_02692",10.59,8.35,10.45,4.12,12.29,15.04,10.12,15.4,11.02,8.89,8.12,11.74
"1617.00_02693",12.11,11.93,17.91,14.43,10.4,15.04,15.9,13.2,14.7,19.55,11.8,18.35
"1617.00_02694",2.27,4.77,5.97,2.06,5.67,2.15,4.34,5.13,0,4.44,1.48,1.47
"1617.00_02695",70.37,64.45,44.77,32.97,61.47,63.38,59.28,63.81,56.34,53.31,45.01,41.84
"1617.00_02696",75.67,63.25,89.54,41.22,55.8,91.31,111.33,87.28,60.02,70.19,60.5,70.46
"1617.00_02697",26.48,21.48,34.32,47.4,35.94,36.53,41.93,28.6,36.74,27.54,25.82,25.69
"1617.00_02698",21.94,28.64,23.88,16.49,27.43,23.63,31.81,25.67,17.15,23.1,24.35,22.02
"1617.00_02699",21.94,32.22,32.83,51.52,19.86,35.45,31.81,16.87,15.92,24.88,59.76,60.19
"1617.00_02700",56,137.25,137.3,106.14,88.9,107.43,95.43,79.21,109.01,75.52,49.43,36.7
"1617.00_02701",1004.9,1143.35,486.51,564.69,585.4,676.79,718.58,637.35,910.03,979.13,593.2,707.55
"1617.00_02702",104.42,133.67,132.82,186.51,155.1,123.54,95.43,101.95,134.73,136.83,146.09,177.62
"1617.00_02703",102.15,115.77,141.78,164.87,156.99,118.17,117.11,114.41,128.6,135.05,160.1,144.59
"1617.00_02704",170.26,177.83,271.61,342.11,239.27,178.33,134.46,231.03,218.02,225.68,267.82,284.05
"1617.00_02705",171.01,105.03,146.25,198.88,111.6,200.89,183.62,122.48,126.15,112.84,127.64,139.46
"1617.00_02706",43.89,40.58,59.7,69.04,74.71,84.87,80.97,54.27,60.02,42.65,49.43,49.18
"1617.00_02707",59.02,62.06,86.56,65.95,69.04,80.57,82.41,70.41,67.36,47.09,73.78,86.61
"1617.00_02708",75.67,77.58,77.6,97.89,71.88,105.28,75.18,62.34,48.99,71.97,96.65,111.56
"1617.00_02709",251.98,106.22,156.7,266.89,147.53,206.26,213.98,134.22,173.92,153.71,255.28,273.04
"1617.00_02710",314.03,187.38,320.86,462.68,301.69,364.18,349.89,250.83,314.77,264.77,354.88,397.08
"1617.00_02711",34.05,52.51,113.42,84.5,65.26,117.1,89.64,71.88,80.84,42.65,51.65,51.38
"1617.00_02712",1482.38,2042.04,1437.16,1662.13,1505.6,1684.47,1768.26,1538.73,1452.62,1646.39,1510.29,1432.72
"1617.00_02713",218.69,276.89,292.51,271.01,278.04,319.06,260.25,269.9,309.88,248.78,162.32,183.49
"1617.00_02714",161.18,212.44,231.32,315.32,268.59,278.24,213.98,204.63,222.91,207.91,213.96,178.36
"1617.00_02715",320.84,281.66,383.54,330.78,351.81,476.98,419.29,357.18,291.5,338.52,386.61,324.42
"1617.00_02716",755.94,794.85,844.68,904.74,887.09,787.44,698.34,784.03,754.48,757,969.48,1038.58
"1617.00_02717",236.85,237.5,228.33,251.43,229.81,220.23,218.32,229.56,254.76,222.13,317.99,339.83
"1617.00_02718",299.65,248.24,207.44,191.67,209.01,270.72,281.94,214.89,176.37,231.01,175.6,148.26
"1617.00_02719",242.9,381.91,426.82,397.76,374.51,445.82,448.21,367.45,339.27,320.75,216.18,217.99
"1617.00_02720",239.12,189.76,204.46,235.98,237.38,222.38,186.51,245.7,180.05,207.91,264.87,232.67
"1617.00_02721",83.24,75.19,62.68,99.95,70.93,65.53,57.83,87.28,80.84,85.3,80.42,85.88
"1617.00_02722",183.12,103.83,120.88,150.45,119.16,118.17,153.26,143.02,132.28,153.71,181.5,197.44
"1617.00_02723",165.72,307.92,231.32,248.34,229.81,257.83,245.79,210.49,258.43,255,191.09,177.62
"1617.00_02724",389.7,607.48,482.04,762.54,464.35,458.72,491.58,409.25,432.36,428.26,618.28,554.89
"1617.00_02725",22673.75,16600.05,13420.93,17296.29,15093.78,13323.18,13819.3,16670.05,15502.35,17244.91,26016.49,25885.85
"1617.00_02726",301.17,570.48,529.79,413.21,488.94,529.62,438.09,406.32,482.57,460.24,202.9,178.36
"1617.00_02727",936.79,597.93,710.37,620.34,699.84,746.62,602.91,756.9,742.23,725.9,790.93,848.48
"1617.00_02728",1255.37,1072.93,1090.93,1076.83,1158.51,1081.8,1213.06,1310.63,1297.07,1168.38,1215.17,1167.76
"1617.00_02729",33904.69,120347.65,81644.89,142442.7,69008.65,74256.14,67446.8,56079.97,57644.19,50935.07,63502.89,57058.52
"1617.00_02730",208.09,220.79,244.75,287.5,278.99,225.6,271.82,245.7,291.5,259.44,222.08,242.21
"1617.00_02731",534.99,608.67,520.84,560.57,547.58,498.46,521.95,508.26,552.39,507.33,521.63,488.83
"1617.00_02732",228.52,157.54,214.9,215.37,196.71,181.55,183.62,191.42,172.7,191.03,216.91,220.93
