"","WT1-","PZGH2-","PZGH3-","PZGH2+","PZGH3+","WT2-","WT3-","WT1+","WT2+","WT3+"
"2351_00986",3010,2353,3051,2504,2328,4399,3084,3911,3967,3296
"2351_00987",4918,4283,5405,4326,4076,7109,5031,6605,6859,5917
"2351_00988",3481,4836,5654,6886,6502,4989,4658,5721,4773,4209
"2351_00989",1130,720,1020,732,685,1325,917,1682,1654,1347
"2351_00990",614,511,514,438,431,503,456,416,375,321
"2351_00992",1532,1679,1795,1864,1915,2016,1702,1519,1298,1018
"2351_00993",2075,2088,2358,2307,2200,2448,2648,2270,1958,1615
"2351_00995",1809,1967,2129,2157,2036,2116,2064,1866,1560,1319
"2351_00997",2395,2009,2680,1838,1613,2965,2357,2122,1893,1635
"2351_00998",1289,1013,1240,1084,1010,1441,1355,1559,1541,1177
"2351_00999",1280,1195,1713,1336,1147,1590,1293,2318,2030,1647
"2351_01000",2095,1540,1838,1427,1197,2162,1824,2341,2069,1764
"2351_01001",4605,3457,4265,2921,2670,5065,4142,4780,4155,3456
"2351_01002",5601,3886,5482,3855,3630,5654,5838,5545,4108,3083
"2351_01003",9475,9839,11667,10652,10238,13043,11102,12815,11897,10221
"2351_01004",666,443,410,385,398,556,446,325,255,231
"2351_01005",90,54,59,44,61,73,50,40,30,32
"2351_01006",28681,24804,24792,22104,23460,28201,19810,25358,21334,21042
"2351_01007",14685,13338,14399,11550,11441,15343,11993,13220,12502,12040
"2351_01008",677,857,941,834,837,1025,844,852,697,608
"2351_01009",698,654,864,772,743,875,746,895,849,775
"2351_01010",4904,4558,5213,4450,4683,5917,4666,5517,4948,4269
"2351_01011",7726,7004,8868,7404,6603,10824,9409,10391,9275,7320
"2351_01012",1543,1121,1183,924,941,1772,1685,1509,1178,881
"2351_01013",3413,2418,2213,1785,1905,4159,3694,3042,2139,1514
"2351_01014",1865,868,718,648,658,1305,864,816,482,421
"2351_01015",195,165,194,115,106,235,186,226,209,168
"2351_01016",818,544,736,489,400,853,631,1016,997,793
"2351_01017",110,108,107,68,66,138,82,152,156,106
"2351_01018",71,59,73,42,38,60,67,82,93,48
"2351_01019",22,9,16,13,9,9,24,22,12,10
"2351_01020",4965,3100,3089,2345,2293,4321,3819,924,727,775
"2351_01021",391,371,404,303,319,484,369,215,191,185
"2351_01022",313,240,269,176,168,397,335,236,223,206
"2351_01023",203,168,168,127,107,267,178,128,113,106
"2351_01024",216,131,155,81,96,210,168,138,125,121
"2351_01025",418,217,221,176,187,350,155,246,197,193
"2351_01026",6078,4474,6593,2787,2451,7730,5943,12763,11377,10020
"2351_01027",11005,7647,9839,4384,4304,11780,8674,16886,15345,13602
"2351_01028",4853,4628,6994,4336,4196,6690,5569,6128,6221,5311
"2351_01029",10590,8875,13324,8085,7667,13196,11116,11734,10905,9353
"2351_01030",3614,3177,5091,2770,2749,4722,3819,5286,4859,4156
"2351_01031",6195,4200,5700,4859,4129,6476,5212,6123,4331,3519
"2351_01032",10971,8454,9577,7599,6140,12808,12725,14769,11319,7435
"2351_01033",496,373,441,346,375,556,399,487,482,407
"2351_01034",14,4,17,7,3,9,10,9,17,14
"2351_01035",5,3,7,4,5,3,6,8,4,1
"2351_01036",5,6,6,6,5,7,6,3,8,8
"2351_01037",27,13,11,6,12,18,18,17,16,14
"2351_01038",5,8,10,3,5,4,8,12,8,6
"2351_01039",8,10,9,6,2,6,8,17,15,5
"2351_01040",87,67,92,69,48,105,73,100,108,95
"2351_01041",15629,8444,11302,14043,12324,17481,6209,38500,34733,33053
"2351_01042",25028,17562,18731,13606,12276,30023,21027,17206,15054,11711
"2351_01043",17527,10418,11058,7692,6961,18689,13262,8359,7622,6341
"2351_01044",7461,5822,7928,7069,6498,9048,8063,10048,7937,6533
"2351_01045",167,144,174,118,113,177,129,92,92,116
"2351_01046",3359,5091,7136,3843,3112,8777,6278,5599,8985,7094
"2351_01047",469,771,977,525,450,1269,1029,762,1206,947
"2351_01048",226,188,211,157,128,228,206,203,206,162
"2351_01049",90,87,98,90,76,116,104,128,113,98
"2351_01050",57,21,28,13,17,51,44,45,30,34
"2351_01051",252,176,230,210,194,285,252,290,224,203
"2351_01052",154,121,152,155,106,156,140,193,196,156
"2351_01053",280,291,400,333,295,371,282,395,392,342
"2351_01054",283,162,185,138,173,270,179,1011,762,747
"2351_01055",399,182,196,116,142,338,183,179,137,145
"2351_01056",1085,3861,3577,3133,3658,3446,3216,1456,2322,2557
"2351_01057",6018,13108,13669,9845,10011,19645,16300,3314,7630,6506
"2351_01058",1035,2719,2603,2128,2174,3677,2942,475,1070,897
"2351_01059",497,1348,1222,986,965,1627,1549,254,508,451
"2351_01060",1013,2388,2500,2022,1962,3583,3223,600,1121,940
"2351_01061",1277,2785,2567,2460,2404,4059,3450,812,1432,1200
"2351_01062",518,1058,958,867,786,1414,1354,265,564,455
"2351_01063",3985,6963,6627,5719,5230,8945,7793,2879,3752,3435
"2351_01064",541,790,1026,824,675,1239,882,660,1116,777
"2351_01065",79,62,89,80,48,115,88,69,82,81
"2351_01066",285,530,713,654,554,891,632,293,757,571
"2351_01067",481,1007,1410,1090,858,1581,1205,644,1511,1158
"2351_01068",320,749,922,867,662,868,597,349,853,751
"2351_01069",197,420,493,511,381,577,431,228,586,405
"2351_01070",189,474,592,555,436,623,427,286,704,500
"2351_01071",253,545,633,666,489,724,562,288,824,586
"2351_01072",720,1905,2452,2512,1823,2374,1796,978,2906,2099
"2351_01073",1238,3227,3685,3069,2428,4110,2911,1161,3520,2459
"2351_01074",41,17,27,20,28,18,14,14,13,11
"2351_01075",12266,11700,13235,11337,11580,13172,11839,14059,12669,11320
"2351_01076",797,743,795,668,743,970,695,738,696,673
"2351_01077",825,477,620,360,382,821,477,818,634,582
"2351_01078",3884,3173,4058,3471,3224,4721,3797,4640,3981,3343
"2351_01079",10412,8047,10283,7599,7750,14327,9290,15942,14610,12414
"2351_01080",2089,1431,2016,1493,1385,2801,2087,3191,2855,2474
"2351_01081",1740,1644,2335,1420,1403,1859,1411,3080,2354,2109
"2351_01082",4428,3016,3413,2835,2700,3825,2897,4053,3004,2538
"2351_01083",2063,1669,2159,1657,1498,2518,1936,2563,2202,1959
"2351_01084",464,511,651,560,551,690,503,587,539,564
"2351_01085",1223,1266,1581,1371,1369,1640,1364,1729,1687,1404
"2351_01086",2104,1485,1559,1172,1166,1914,1498,1613,1421,1311
"2351_01087",3531,2609,2909,2221,2219,3633,2668,4865,4677,4107
"2351_01088",183069,157385,189209,132561,124790,226151,191860,194592,172184,137419
"2351_01089",2874,1646,1743,1441,1513,2364,1566,1701,1425,1409
"2351_01090",5310,6502,7563,6515,6516,7731,6938,7625,6769,5961
"2351_01091",12511,13553,15334,14031,14224,15328,13040,14179,11869,10908
"2351_01092",322776,244066,265900,125333,129651,297016,237817,336914,326824,283658
"2351_01093",2030,1852,2287,1904,1717,2729,1978,2342,2167,1947
"2351_01094",3708,3566,4433,3584,3488,4804,3683,4325,4456,3913
"2351_01095",1766,1777,2249,1730,1739,2343,1807,2528,2365,2103
"2351_01096",4059,4039,5049,4565,4440,5706,4602,5555,5272,4788
"2351_01097",1660,1893,2633,2633,2374,2632,2382,3260,3045,2696
"2351_01098",2026,1934,2565,2169,2131,2641,2208,2846,2519,2141
"2351_01099",4549,4601,5161,4358,4215,4788,4062,4305,3543,3597
"2351_01100",3876,6807,8372,7225,7083,6734,6226,2964,3176,3127
"2351_01101",116,66,99,84,52,104,95,123,104,83
"2351_01102",80,63,64,58,63,100,61,101,83,80
"2351_01103",73,47,75,47,38,72,59,63,35,54
"2351_01104",166,141,184,153,151,164,153,162,175,155
"2351_01105",231,193,224,159,192,290,202,228,212,184
"2351_01106",56,47,47,40,36,51,51,36,28,28
"2351_01107",363,270,260,202,168,315,238,174,153,147
"2351_01108",12,4,13,6,5,14,7,11,2,14
"2351_01109",13,12,15,11,8,22,21,13,26,16
"2351_01110",19,27,16,13,20,26,20,28,23,20
"2351_01111",11,11,21,18,12,20,14,20,28,12
"2351_01112",91,50,83,80,62,114,81,133,112,95
"2351_01113",10494,9047,11128,9891,8964,13364,10966,14512,12741,10652
"2351_01114",5636,6851,8448,7096,6776,7906,7171,8008,7454,6659
"2351_01115",13399,14938,17704,14928,13841,18123,16351,18990,16572,14329
"2351_01116",288538,138086,123063,99597,115320,163205,115330,125262,87216,76814
"2351_01117",28496,29996,35585,30121,28689,34881,31835,31570,27222,24325
"2351_01118",4225,6229,9429,8575,8369,7441,6650,8823,7831,7381
"2351_01119",7094,9241,13778,12514,12310,12465,10638,14562,13228,12782
"2351_01120",4724,3725,4275,3488,2936,6041,4473,6081,6318,5450
"2351_01121",7282,7351,9195,8614,8074,9524,8467,10294,8581,7367
"2351_01122",1579,1472,1998,1832,1755,2083,1785,2102,1839,1631
"2351_01123",2191,2203,2651,2588,2357,2890,2493,2853,2472,2262
"2351_01124",1751,1576,1943,1878,1811,2383,1778,2413,2008,1704
"2351_01125",355,329,461,389,379,545,442,485,385,323
"2351_01126",1662,1310,1474,1505,1285,2021,1631,1545,1481,1230
"2351_01127",3410,3855,4742,4062,3756,4720,4362,4673,4157,3568
"2351_01128",1020,1091,1198,1010,961,1206,1103,1259,1129,987
"2351_01129",892,956,1360,1230,1211,1259,1063,1523,1339,1335
"2351_01130",586,736,988,1025,829,1009,970,1171,1088,901
"2351_01131",4659,5615,7731,6308,6072,7293,6533,7125,6932,6349
"2351_01132",491,341,404,345,371,505,389,530,361,393
"2351_01133",20417,10522,10725,7436,7689,14326,9877,11975,9982,8667
"2351_01134",237026,294672,359000,329508,337119,334673,305847,320599,292812,267676
"2351_01135",8879,11863,15790,14451,15140,16028,12213,14065,12847,13025
"2351_01136",517,435,430,356,346,442,369,435,319,400
"2351_01137",4127,3505,4487,3465,3432,5065,3748,4128,4100,3650
"2351_01138",10217,11230,15667,10841,10366,14982,12939,13711,13895,12705
"2351_01139",2540,1847,1982,1441,1437,2611,1709,1989,1659,1535
"2351_01140",6887,10240,11567,11513,11847,10040,9739,8510,7083,6480
"2351_01141",18515,11639,13766,8716,8738,20684,15337,17255,14580,13412
"2351_01142",169641,111743,131159,80840,82427,189621,158780,162497,138453,122832
"2351_01143",3434,3274,3963,2876,2730,4469,3554,3902,3504,3172
"2351_01144",795,488,450,467,442,562,403,316,237,283
"2351_01145",423,257,294,237,214,361,257,258,210,174
"2351_01146",2292,1545,1899,1727,1622,2247,1900,1816,1258,1116
"2351_01147",2291,2453,3144,1982,1857,3069,2679,2238,2076,1683
"2351_01148",64914,48121,58881,29960,30327,73895,50191,75910,73548,60417
"2351_01149",846,232,334,249,214,1129,1061,521,539,382
"2351_01150",522,127,158,80,76,741,687,257,286,203
"2351_01151",2669,636,803,445,375,3401,3175,1372,1478,1269
"2351_01152",14764,15262,20340,16040,15014,21392,19789,21365,19130,16111
"2351_01153",1541,1496,2100,1823,1746,2230,1973,2351,2235,1839
"2351_01154",2491,2212,2801,2389,2413,3234,2530,2923,2658,2422
"2351_01155",5786,5321,7168,6488,5846,7940,6506,8105,7675,6620
"2351_01156",13847,12113,14020,11997,12069,14322,11370,13772,12011,11518
"2351_01157",5501,5118,6305,5548,5225,6887,5985,6848,5802,4840
"2351_01158",812,975,1318,1299,1132,1221,1205,1611,1400,1269
"2351_01159",1126,1199,1683,1504,1285,1638,1424,1981,1776,1534
"2351_01160",805,901,1163,930,823,1174,992,1215,1077,940
"2351_01161",23658,24808,24088,18251,18827,22862,20826,17032,13397,13453
"2351_01162",930,572,530,528,461,569,425,285,318,266
"2351_01163",15985,14546,19466,15096,13549,20266,17674,23751,23640,19940
"2351_01164",900,567,893,777,706,881,567,1261,1106,1116
"2351_01165",33527,14631,16239,11395,11348,24664,16306,23733,16543,14511
"2351_01166",1204,1020,1400,1050,994,1620,1246,1570,1666,1407
"2351_01167",990,824,1115,817,771,1216,963,1204,1041,962
"2351_01168",2704,1677,1745,1729,1697,2781,2277,2021,1675,1387
"2351_01169",822,495,603,522,462,706,594,1334,867,692
"2351_01170",2642,1514,1962,939,815,4018,3181,1885,2262,1919
"2351_01171",803,949,1149,868,782,1026,949,781,588,576
"2351_01172",157,115,104,106,160,153,129,10024,8743,6699
"2351_01173",66,40,50,38,50,72,72,2722,2601,1833
"2351_01174",5149,4164,6496,3710,2861,7284,5546,10180,9333,7425
"2351_01175",2108,1486,2051,1548,1251,2455,1972,2726,2521,2133
"2351_01176",847,782,1001,901,679,1172,882,1489,1340,1177
"2351_01177",1089,1110,1353,1330,1289,1505,1330,1535,1337,1071
"2351_01178",1473,1028,1154,938,741,1652,1261,1746,1428,1199
"2351_01179",1601,994,1076,890,743,1607,1209,1300,1091,846
"2351_01180",3748,1819,2066,1372,1248,3656,2301,2710,2005,1634
"2351_01181",4376,3870,4669,3433,3337,5560,4374,5983,5288,4593
"2351_01182",4965,4449,5613,3959,3679,6753,5367,6918,6165,5260
"2351_01183",1246,1370,1702,1352,1173,1839,1813,2080,1926,1624
"2351_01184",1043,1175,1415,1109,923,1538,1391,1550,1449,1240
"2351_01185",955,873,928,752,698,1050,788,755,666,667
"2351_01186",477,639,738,704,719,781,693,734,656,566
"2351_01187",416,388,473,314,314,523,417,493,443,374
"2351_01188",607,564,887,599,491,800,774,897,774,675
"2351_01189",536,441,844,511,442,747,620,841,717,596
"2351_01190",621,594,971,646,490,909,773,1125,1016,818
"2351_01191",2757,2393,3546,2250,1999,3770,2904,3937,3471,2924
"2351_01192",5306,4330,4615,4261,4502,5382,4100,4379,3597,3606
"2351_01193",1321,915,1097,951,849,1366,1065,1185,1079,906
"2351_01194",752,611,767,671,574,968,806,885,774,622
"2351_01195",476,295,340,261,274,438,318,378,343,296
"2351_01196",191,74,82,71,88,123,72,79,79,91
"2351_01197",289,238,297,267,194,316,304,294,250,211
"2351_01198",4252,3898,4480,3440,3320,4503,3951,4185,3708,3532
"2351_01199",283,236,345,321,328,391,312,402,361,300
"2351_01200",351,455,707,690,582,612,580,742,729,676
"2351_01201",792,742,957,936,936,1112,839,1084,1022,925
"2351_01202",301,215,257,208,206,311,276,306,221,216
"2351_01203",831,622,852,620,549,854,719,906,735,690
"2351_01204",803,531,715,676,557,901,815,765,611,531
"2351_01205",1583,1544,2005,1459,1503,2151,1848,1974,1704,1530
"2351_01206",4385,2909,3823,2610,2356,5026,4040,3998,3292,2721
"2351_01207",2404,1966,2901,2224,2083,2922,2529,3320,3026,2586
"2351_01208",1302,1084,1496,1124,967,2008,1542,1978,2119,1740
"2351_01209",283132,156403,144006,89145,92209,201825,169255,172929,187667,161849
"2351_01210",2597,3694,4716,4076,4086,4064,3714,3494,3000,2825
"2351_01211",227,186,176,122,141,262,156,144,88,88
"2351_01212",502,453,458,315,331,469,426,296,280,279
"2351_01213",437,381,516,353,321,532,491,485,433,380
"2351_01214",439,450,679,488,453,648,578,758,761,567
"2351_01215",1682,1407,2131,1773,1513,2301,1796,2568,2481,2035
"2351_01216",964,764,1093,813,686,1080,907,1399,1335,1120
"2351_01217",854,546,800,683,511,984,679,1320,1206,965
"2351_01218",785,1275,1698,2691,2149,1074,1030,2232,2231,1773
"2351_01219",422,756,842,1141,1010,559,521,993,922,727
"2351_01220",149,100,120,85,79,184,118,156,121,113
"2351_01221",30,17,18,17,22,33,20,21,23,18
"2351_01222",303,227,241,141,178,363,262,225,257,170
"2351_01223",1572,1814,2134,1368,1386,2360,1814,1890,1989,1901
"2351_01224",1137,1316,1733,910,734,2084,1771,1227,1325,1071
"2351_01225",885,766,852,772,769,1039,763,835,750,653
"2351_01227",484,431,545,460,395,599,521,408,432,350
"2351_01228",1384,1236,1461,1089,999,1821,1481,1475,1366,1029
"2351_01229",4078,2755,2998,2451,2689,3535,3073,3971,3138,2544
"2351_01230",1222,1176,1445,1172,1142,1712,1304,1331,1247,1071
"2351_01231",1219,692,851,668,652,1253,765,911,732,630
"2351_01232",1457,1309,1670,1413,1344,1983,1581,1797,1648,1370
"2351_01233",2487,1875,2637,2259,2141,3066,2230,2852,2658,2173
"2351_01234",6670,3522,3979,3002,2746,5691,3725,4351,3600,3175
"2351_01235",1936,1970,2839,2031,2132,3145,2358,2744,2563,2206
"2351_01236",25416,9864,8518,7533,8823,21206,18928,7382,4887,3892
"2351_01237",647,443,460,370,402,630,443,411,343,361
"2351_01238",472,533,674,648,608,748,624,797,744,631
"2351_01239",669,749,895,827,742,877,886,961,824,672
"2351_01240",374,445,480,458,443,549,441,539,468,372
"2351_01241",1262,1473,1945,1821,1649,1853,1817,1985,1792,1589
"2351_01242",1071,1172,1631,1418,1307,1570,1422,1777,1587,1386
"2351_01243",179,106,187,149,119,189,132,237,192,196
"2351_01244",528,757,1040,936,880,1129,1003,1123,1091,939
"2351_01245",1755,2175,2848,2527,2408,3189,2339,2912,2877,2760
"2351_01246",2643,2346,2844,2303,2181,3188,2685,3372,3030,2465
"2351_01247",1211,1090,1442,1102,1040,1587,1302,1572,1374,1189
"2351_01248",231,237,167,179,222,225,238,231,160,113
"2351_01249",63,67,82,53,61,87,75,93,52,68
"2351_01250",101,101,136,85,82,148,117,134,104,129
"2351_01251",7632,7463,8613,7384,7403,9958,8251,7670,6686,5469
"2351_01252",24,21,15,11,13,18,15,23,20,7
"2351_01253",7691,6881,9234,7618,6818,10052,9296,11906,10284,8414
"2351_01254",127,106,83,61,56,99,108,93,83,62
"2351_01255",3880,3601,4383,3698,3191,5235,4712,6614,5681,4880
"2351_01256",2073,1285,1651,1493,1288,2255,1690,2536,1972,1574
"2351_01257",15778,13906,17350,16412,15380,20152,19289,21764,18574,14604
"2351_01258",124,57,61,44,43,79,66,73,41,44
"2351_01259",77,52,73,41,33,86,64,74,55,45
"2351_01260",89,59,68,55,49,95,89,100,86,74
"2351_01261",79,60,73,81,67,87,58,105,94,75
"2351_01262",454,400,482,335,345,467,404,433,402,340
"2351_01263",310,268,395,338,322,483,361,395,384,323
"2351_01264",138,121,117,92,107,137,116,142,120,100
"2351_01265",94,113,99,80,88,119,111,125,105,72
"2351_01266",95,90,90,60,67,77,73,114,69,66
"2351_01267",236,165,173,121,149,168,173,246,147,126
"2351_01268",185,129,121,128,117,126,128,184,146,106
"2351_01269",9187,8501,10442,8260,7867,11831,9894,12845,11041,9499
"2351_01270",37465,33758,41948,33000,32734,47178,40108,51009,46003,38846
"2351_01271",68786,71572,82322,68476,66304,85626,72529,89330,81082,71070
"2351_01272",4906,4702,6381,3602,3349,7217,6017,6352,6980,5665
"2351_01273",258,203,255,179,178,324,270,266,303,248
"2351_01274",5247,3651,4427,2750,2549,5849,4460,5235,4463,3661
"2351_01275",296,308,448,340,339,323,258,368,347,311
"2351_01276",84,81,76,75,61,130,99,108,117,108
"2351_01277",36,55,74,70,59,90,88,68,84,57
"2351_01278",35,43,52,40,49,53,48,75,64,60
"2351_01279",97,76,75,72,74,113,108,79,82,89
"2351_01280",1229,1120,1358,1024,1027,1535,1232,1416,1207,1096
"2351_01281",24,12,15,15,12,19,23,24,22,21
"2351_01282",3621,2968,3421,3045,2799,4584,4092,4357,3796,3227
"2351_01283",5826,5112,6813,4559,4180,7344,6357,5552,5441,4829
"2351_01284",1303,1893,2496,2014,1935,2388,1939,2112,1991,1914
"2351_01285",15774,11050,10871,8578,9078,15923,10612,16111,12958,12540
"2351_01286",1608,1633,2009,1851,1684,2225,1889,2447,2295,2122
"2351_01287",2252,2212,3064,2911,2463,3381,3081,4132,3973,3244
"2351_01288",908,865,1215,1288,1026,1220,1151,1819,1721,1437
"2351_01289",930,979,1344,1214,1069,1376,1160,1753,1491,1314
"2351_01290",12781,16113,24404,21829,19562,23042,21763,28887,29048,24347
"2351_01291",8408,7437,9472,8850,7941,10743,8423,10729,9505,8389
"2351_01292",13830,17903,26097,26245,21096,24641,25020,35594,34943,28390
"2351_01293",386,401,566,613,485,618,550,786,807,662
"2351_01294",2929,2212,2800,2433,2311,3603,2722,3103,2544,2275
"2351_01295",1855,1022,1174,883,899,1439,1055,988,1026,974
"2351_01296",3291,2900,3990,3182,3308,3718,3217,6327,5831,5167
"2351_01297",2450,1614,1813,1561,1508,2876,2124,2531,2111,1738
"2351_01298",1918,1467,1707,1521,1394,2097,1472,1592,1329,1173
"2351_01299",1055,1067,1331,1207,1142,1510,1327,1229,1021,922
"2351_01300",1604,1547,1754,1518,1545,1944,1614,1932,1684,1507
"2351_01301",1207,1171,1546,1250,1254,1820,1391,1559,1419,1293
"2351_01302",1525,1392,1889,1572,1377,2235,1738,2023,1836,1619
"2351_01303",910,1168,1668,1393,1220,1750,1491,1868,1747,1542
"2351_01304",5431,7131,10346,9670,9519,10058,9041,10828,9983,8863
"2351_01305",9532,11614,14681,13172,13039,14426,13292,14950,13120,11247
"2351_01306",3607,2493,2724,1767,1747,3228,2763,2959,2354,1992
"2351_01307",162,65,70,56,85,109,99,31,18,22
"2351_01308",939,632,676,667,843,1310,1212,118,87,64
"2351_01309",636,409,416,357,357,732,737,163,139,123
"2351_01310",126,95,87,70,68,142,135,42,41,38
"2351_01311",793,484,546,606,674,956,1043,245,227,190
"2351_01312",1519,1009,1123,1300,1462,1916,1956,484,381,338
"2351_01313",1181,852,874,982,1066,1444,1564,244,223,168
"2351_01314",4425,3215,3271,3612,3911,6302,6747,652,503,459
"2351_01315",871,663,580,776,780,1294,1410,75,67,62
"2351_01316",1447,1028,900,1101,1142,2186,2244,123,80,54
"2351_01317",5826,4071,3586,4353,4618,8281,8322,420,287,261
"2351_01318",3412,2383,2298,2011,2152,3093,2322,2998,1864,1844
"2351_01319",975,529,554,525,604,944,880,630,403,320
"2351_01320",987,496,554,586,654,1194,1083,486,330,241
"2351_01321",3145,2474,2548,2298,2749,4217,4272,728,589,561
"2351_01322",1045,760,763,767,953,1392,1481,142,125,110
"2351_01323",8002,5480,5176,5566,6357,10619,11932,573,511,401
"2351_01324",6395,4740,4529,4384,5399,9295,10386,437,384,288
"2351_01325",14759,10123,9549,8688,10663,19383,19905,713,630,500
"2351_01326",16291,11288,11715,11108,11767,14087,11917,14797,11881,11622
"2351_01327",334,201,213,188,243,414,374,109,85,72
"2351_01328",421,266,288,321,320,621,534,147,130,85
"2351_01329",1628,1047,1116,1220,1238,2370,2134,675,536,432
"2351_01330",622,561,789,796,686,899,594,868,780,719
"2351_01331",234,177,241,145,150,194,139,198,190,211
"2351_01332",433,316,361,254,271,382,299,273,217,218
"2351_01333",23,12,14,18,14,13,7,9,7,6
"2351_01334",9,4,3,4,1,6,2,0,3,1
"2351_01335",15,13,11,16,13,6,13,12,5,9
"2351_01336",226,123,120,87,104,146,123,99,85,87
"2351_01337",107,79,69,67,52,103,65,59,50,45
"2351_01338",50,30,21,19,24,47,33,26,27,27
"2351_01339",9,6,3,4,6,4,10,0,9,3
"2351_01340",14,16,12,13,4,15,8,12,11,10
"2351_01341",50,34,24,21,20,55,47,17,18,41
"2351_01342",109,82,68,41,34,91,78,63,58,50
"2351_01343",63,62,48,30,51,61,38,35,48,51
"2351_01344",22,20,15,18,11,28,18,15,11,13
"2351_01345",35,36,36,24,26,48,38,27,23,33
"2351_01346",25,17,10,8,7,17,17,15,8,10
"2351_01347",1,3,3,3,3,6,3,4,3,2
"2351_01348",8,6,4,7,3,3,5,0,4,1
"2351_01349",33,11,23,16,12,25,15,15,18,13
"2351_01350",6,7,12,11,7,8,4,7,4,11
"2351_01351",231,123,115,84,71,162,114,85,72,89
"2351_01352",82,63,41,20,23,53,41,31,36,28
"2351_01353",73,54,60,28,36,79,46,51,45,39
"2351_01354",95,62,66,31,47,75,55,52,53,45
"2351_01355",32,18,20,7,8,35,12,14,13,23
"2351_01356",27,17,18,17,16,19,17,12,10,17
"2351_01357",33,14,11,10,19,33,23,4,5,6
"2351_01358",52,54,65,43,45,77,42,33,29,38
"2351_01359",29,27,19,10,14,27,21,19,14,10
"2351_01360",105,66,65,43,37,68,51,112,70,73
"2351_01361",131,91,98,66,72,107,72,56,70,81
"2351_01362",23,9,12,9,9,14,17,13,4,19
"2351_01363",5,4,8,7,7,16,5,12,6,10
"2351_01364",23,9,12,6,8,22,21,15,20,10
"2351_01365",16,14,8,15,5,9,7,15,8,9
"2351_01366",374,169,145,183,192,163,131,275,128,147
"2351_01367",1271,534,576,583,595,588,439,994,445,442
"2351_01368",1,3,6,5,6,3,6,6,7,7
"2351_01369",165,125,128,130,170,129,104,77,59,66
"2351_01370",4027,6669,7291,9602,9800,4659,4078,6115,5903,5715
"2351_01371",8095,6420,7698,6930,6511,8502,6954,8149,5778,5002
"2351_01372",313,237,313,303,274,387,295,364,308,215
"2351_01373",176,193,228,203,177,258,215,272,207,174
"2351_01374",626,434,521,368,361,586,450,514,453,423
"2351_01375",576,391,612,499,447,739,548,757,722,604
"2351_01376",289,184,201,184,166,271,240,243,205,184
"2351_01377",411,408,642,576,469,607,494,589,665,561
"2351_01378",1552,1522,1913,1724,1563,1923,1635,1871,1822,1563
"2351_01379",3247,2915,3875,2765,2643,4014,3336,3924,3449,3124
"2351_01380",554,480,752,584,527,659,628,839,785,665
"2351_01381",2935,2574,3170,2143,1945,3719,2942,3456,3129,2566
"2351_01382",8353,5135,4925,3096,3092,5859,4999,5193,4553,4613
"2351_01383",968,1209,1379,1122,1204,1265,1189,1169,1091,967
"2351_01384",363,397,493,372,372,476,416,513,487,450
"2351_01385",19,25,30,21,15,24,14,22,28,20
"2351_01386",4634,4216,5162,4338,4075,6033,4500,5263,4731,4256
"2351_01387",2919,3134,4009,3521,3145,4549,3854,4612,4361,3856
"2351_01388",2827,3085,4067,3640,3315,4123,3717,3947,3737,3220
"2351_01389",2780,3050,4194,3423,3486,4309,3637,4037,3461,3100
"2351_01390",34,25,55,34,38,36,22,59,35,30
"2351_01391",65,64,70,79,67,67,57,81,78,63
"2351_01392",91,64,100,105,71,106,83,98,98,117
"2351_01393",69,58,88,98,83,84,71,102,111,127
"2351_01394",1434,1545,2263,1917,1685,2307,1866,2441,2400,2024
"2351_01395",6068,8186,10850,9351,8990,9578,8350,8485,8435,7848
"2351_01396",2211,2822,4096,4114,3431,3868,3301,4382,4476,4034
"2351_01397",935,1085,1521,1602,1350,1422,1241,1659,1627,1436
"2351_01398",305,237,306,217,212,379,275,360,294,256
"2351_01399",1853,1611,2040,2003,2081,2295,1762,2155,2181,2224
"2351_01400",1132,901,833,865,977,1286,840,1071,895,909
"2351_01403",1957,1944,2934,2358,2152,2882,2332,2480,2171,2007
"2351_01404",970,1089,1306,1158,1059,1423,1277,1275,1070,937
"2351_01405",374,318,386,282,252,411,406,538,463,406
"2351_01406",939,939,1211,1026,892,1286,1108,1721,1515,1346
"2351_01407",20719,4846,4598,3672,3408,5756,4070,11083,5419,5361
"2351_01408",1078,671,880,738,757,1102,756,1020,885,808
"2351_01409",160,186,192,182,155,223,214,191,239,145
"2351_01410",949,825,987,849,750,1092,984,1068,1013,789
"2351_01411",3758,3065,3681,3249,3186,3641,2923,3622,3046,2844
"2351_01412",1121,677,759,610,519,946,735,804,733,591
"2351_01413",583,406,491,431,500,585,489,594,495,385
"2351_01414",439,407,489,501,504,620,599,639,457,377
"2351_01415",423,286,323,365,359,337,322,458,269,261
"2351_01416",149,89,126,146,115,202,146,188,141,116
"2351_01417",619,275,453,416,370,631,506,652,472,414
"2351_01418",325,400,484,522,489,560,507,512,450,373
"2351_01419",3516,3852,3674,4328,4509,5054,4842,5129,3751,3133
"2351_01420",9423,9287,8927,10470,11043,11602,11679,12816,9369,7758
"2351_01421",8489,7342,8865,7324,6718,10611,9582,9725,8202,6870
"2351_01422",4166,4351,5224,3849,3952,5350,4538,4835,4357,3941
"2351_01423",1962,1974,2157,1638,1612,2388,1836,2187,2113,1946
"2351_01424",362,361,500,415,382,525,372,462,425,360
"2351_01425",632,617,772,679,667,915,776,894,743,663
"2351_01426",904,708,909,778,717,1034,785,1044,861,757
