"","WT1-","PZGH2-","PZGH3-","PZGH2+","PZGH3+","WT2-","WT3-","WT1+","WT2+","WT3+"
"2351_00565",168,175,288,203,140,239,186,481,406,339
"2351_00566",315,341,537,368,287,433,294,936,747,733
"2351_00567",173,165,293,212,159,246,212,512,413,373
"2351_00568",409,404,684,422,324,605,476,991,862,795
"2351_00569",168,185,297,206,151,269,192,423,355,321
"2351_00570",1013,994,1486,842,745,1319,980,2043,1663,1578
"2351_00571",1074,1058,1719,1147,974,1583,1281,2311,1911,1601
"2351_00572",420,347,366,294,322,500,362,543,409,395
"2351_00573",850,615,810,694,541,905,619,1101,1032,852
"2351_00574",10602,8601,9612,9012,8935,9855,7229,12617,9349,9024
"2351_00575",985,768,843,732,799,1029,766,717,652,664
"2351_00576",666,569,627,497,523,766,478,549,473,484
"2351_00577",2360,1809,2242,1831,1786,2526,1837,2290,1917,1805
"2351_00578",7252,5265,5557,3788,3693,6899,5428,5573,5423,5057
"2351_00579",1560,1194,1237,871,796,1659,1259,1288,1140,1172
"2351_00580",2991,2922,3579,2391,2316,4163,2746,2907,3178,2398
"2351_00581",3150,2218,2821,1903,1656,3842,3010,4677,4225,3472
"2351_00582",721,452,475,404,424,461,343,393,278,301
"2351_00583",62329,20146,20758,8832,8868,36594,26376,22481,14765,13784
"2351_00584",4391,5098,6014,4925,5138,6072,5406,5021,4769,4398
"2351_00585",1300,1657,2132,2023,1733,2229,1909,2496,2463,2137
"2351_00586",1393,642,857,592,452,1197,781,1832,1535,1146
"2351_00587",1778,1482,1650,1525,1451,1943,1408,2001,1912,1520
"2351_00588",13223,12467,15052,8522,8589,15732,11981,13672,12956,11909
"2351_00589",745,594,652,635,570,746,581,707,606,504
"2351_00590",421,377,424,418,416,493,376,458,368,384
"2351_00591",56,55,81,52,46,58,67,73,75,53
"2351_00592",86,80,100,86,83,101,85,119,107,98
"2351_00593",162,122,166,123,153,177,123,158,157,145
"2351_00594",436,1273,1358,3455,3243,544,507,1428,1408,1104
"2351_00595",18201,20958,24918,21395,21607,22642,19466,23994,20932,20146
"2351_00596",20081,14457,16292,12811,12466,21215,16222,17749,15458,13751
"2351_00597",13020,10378,10065,7112,8149,12101,9046,12206,11969,12152
"2351_00598",1257,1806,1946,1636,1652,2157,676,1159,1525,489
"2351_00599",6687,5395,6019,5219,5071,6824,5689,5992,5168,4451
"2351_00600",1979,1398,1428,1140,1109,1728,1285,1279,1173,1087
"2351_00601",8097,6553,8202,4917,4832,9933,7542,8392,8334,7122
"2351_00602",375,320,449,254,259,596,397,501,484,434
"2351_00603",1455,1325,1798,1160,1081,1975,1572,1790,1708,1431
"2351_00604",1094,879,1388,1103,1017,1315,1125,1765,1674,1457
"2351_00605",20415,17470,19550,16404,15386,21632,17945,20350,18047,15763
"2351_00606",4436,3429,4001,3452,3249,4786,4024,4146,3722,3204
"2351_00607",235,253,439,389,306,414,328,534,770,622
"2351_00608",479,546,854,769,592,792,635,1001,1674,1448
"2351_00609",1866,1420,1522,1240,1308,1717,1265,1347,1140,1075
"2351_00610",34,25,9,20,12,33,17,28,13,19
"2351_00611",47,22,22,21,17,37,29,25,28,21
"2351_00612",2,6,3,4,4,2,2,8,4,4
"2351_00613",116,101,160,159,132,170,133,223,164,188
"2351_00614",59,64,127,78,81,66,59,110,121,109
"2351_00615",61,43,111,82,69,76,55,142,117,92
"2351_00616",53,59,112,94,75,76,62,151,107,87
"2351_00617",33,29,66,37,37,29,27,80,63,49
"2351_00618",43,46,71,44,52,41,34,79,93,55
"2351_00619",42,41,66,45,41,66,47,93,57,47
"2351_00620",194,157,152,142,168,189,141,138,138,133
"2351_00621",2945,1467,1575,1336,1308,2181,1622,1927,1352,1240
"2351_00622",266,216,306,259,252,305,253,494,509,470
"2351_00623",522,439,472,426,414,555,425,821,787,773
"2351_00624",658,516,564,489,493,730,498,975,976,985
"2351_00625",3102,2110,2317,2016,2046,2973,1878,4530,4132,4165
"2351_00626",621,475,578,453,465,709,555,450,397,340
"2351_00627",1115,1131,1150,1468,1079,1673,1700,1315,1449,1096
"2351_00628",689,838,815,1063,726,1176,1199,921,993,764
"2351_00629",961,1251,1248,1411,1092,1774,1675,1236,1380,1027
"2351_00630",1098,1694,1876,2087,1677,1900,1839,1526,1627,1500
"2351_00631",2576,3988,4104,4139,3730,3969,3614,2642,2976,3020
"2351_00632",1898,2163,2437,2194,1848,3136,2719,2248,2375,1979
"2351_00633",1152,1252,1329,1206,1025,1484,1279,1335,1369,1179
"2351_00634",659,870,1060,888,935,982,875,1013,1039,940
"2351_00635",1446,1263,1597,1284,1159,1954,1529,2105,1989,1728
"2351_00636",811,737,954,672,583,968,817,1067,1008,902
"2351_00637",385,465,569,489,419,587,541,751,791,645
"2351_00638",1267,1245,1721,1378,1302,1717,1525,1922,1979,1642
"2351_00639",879,918,1089,899,834,1204,994,1175,1110,1024
"2351_00640",76,62,90,56,59,73,64,74,99,95
"2351_00641",30114,30498,35568,29852,29248,35539,31177,34049,31733,27034
"2351_00642",602,618,838,766,770,941,641,920,901,813
"2351_00643",5857,7337,9023,7996,7757,9062,8308,7753,7054,6122
"2351_00644",12814,7182,8183,5051,4874,12103,8690,8822,7604,6357
"2351_00645",1592,1049,1282,1027,1097,1666,1122,1489,1190,1133
"2351_00646",2288,2443,2611,2201,2271,2650,2424,2559,2135,1914
"2351_00647",14126,7155,8899,5511,5406,13349,8561,14500,12468,11836
"2351_00648",773,802,1084,912,915,1226,935,997,954,810
"2351_00649",2127,2689,3433,3141,2937,3371,2980,3192,3108,2793
"2351_00650",5331,5021,5617,4838,4816,5947,5107,5508,5798,5329
"2351_00651",2822,2384,2803,2478,2318,3083,2384,2879,2895,2787
"2351_00652",1721,1383,1665,1383,1313,2041,1357,1739,1723,1457
"2351_00653",3524,3180,3611,2968,3106,3738,2970,3525,3134,3009
"2351_00654",4909,4954,7529,5408,4470,8122,6619,11787,11973,9456
"2351_00655",418,243,207,169,134,263,219,183,108,97
"2351_00656",7087,3822,4114,3079,3332,5163,3828,3231,2346,2223
"2351_00657",2378,1342,1427,961,965,1664,1361,1203,810,777
"2351_00658",6075,5259,6637,5939,5765,7121,5720,5063,4321,4060
"2351_00659",20715,26415,34135,30975,30244,30456,26687,31091,31821,29356
"2351_00660",8322,5478,6481,5170,5428,8620,5375,7533,6866,6935
"2351_00661",3725,2983,4266,3115,3009,4548,3208,4372,4001,3506
"2351_00662",2842,2306,2997,2783,2632,3396,2752,3429,3057,2667
"2351_00663",1591,1518,1926,1800,1779,2205,1894,2274,2105,1708
"2351_00664",2061,2874,3357,3855,3489,3244,3098,3199,2549,2385
"2351_00665",1440,1325,1707,1488,1429,2022,1573,1947,1758,1554
"2351_00666",1187,1284,1628,1470,1359,1912,1410,1842,1740,1516
"2351_00667",221,206,194,200,207,246,288,240,201,171
"2351_00668",218,344,425,369,349,314,245,312,310,251
"2351_00669",235,468,617,583,517,355,272,408,461,337
"2351_00670",499,773,1084,1004,935,650,565,765,717,535
"2351_00671",390,626,829,727,665,551,500,586,504,432
"2351_00672",14802,3063,3435,2472,2305,8423,3502,11600,6563,6340
"2351_00673",2274,442,458,351,403,1292,721,1251,923,910
"2351_00674",2839,479,518,380,406,1288,813,1273,910,893
"2351_00675",18623,1419,1783,175,129,18836,15373,1374,907,834
"2351_00676",3995,4879,5967,5324,5248,5238,4690,5429,4617,4414
"2351_00677",3263,3918,4647,4596,4321,4079,3652,4392,3750,3576
"2351_00678",1674,1480,1646,1399,1482,1970,1293,1414,1244,1140
"2351_00679",5173,4660,6099,4266,4135,6696,5344,8307,7509,6483
"2351_00680",9893,7637,7541,5925,5874,10043,7366,6106,5858,5776
"2351_00681",4989,7387,7369,4628,4698,9062,6333,3856,6494,6107
"2351_00682",1852,1533,2234,1570,1500,2457,2011,2523,2293,1981
"2351_00683",1764,939,1151,894,980,1928,1073,1373,1164,1128
"2351_00684",2862,2865,4211,3964,3565,3859,3652,3612,3056,2633
"2351_00685",2578,2531,3804,3504,3330,3536,3182,3292,2845,2463
"2351_00686",3151,3036,4436,4190,3936,4116,3672,3620,3052,2674
"2351_00687",4699,4537,6426,6259,5977,5842,5333,5259,4265,4004
"2351_00688",65361,48064,60498,55624,57143,65769,49557,56284,41063,40983
"2351_00689",35,18,21,17,18,25,18,30,24,28
"2351_00690",1031,892,1139,941,947,1165,900,918,886,826
"2351_00691",63028,56194,76967,52642,50430,92884,77462,93726,91540,76275
"2351_00692",5629,4758,4443,4380,4467,4457,3152,3645,2835,2838
"2351_00693",209761,161483,160036,119333,129831,180652,156364,137597,120325,113688
"2351_00694",11573,9094,10918,7538,7104,12625,10136,9573,8019,7355
"2351_00695",5976,4990,6318,4406,4309,7353,5939,6451,6102,5363
"2351_00696",4787,3986,5351,3874,3782,6019,4629,5779,5387,4930
"2351_00697",3773,3579,4032,3196,3217,3941,3146,4125,3464,3492
"2351_00698",6061,6857,8021,6192,6134,7388,5878,7610,6359,6318
"2351_00699",919,757,770,605,727,984,925,731,579,529
"2351_00701",133,7172,9256,9560,7911,302,243,6034,5126,3838
"2351_00702",110,22119,25517,25407,22835,265,263,6168,5541,3990
"2351_00703",338,0,0,1,0,948,822,17580,16057,12062
"2351_00704",577,0,0,0,0,1635,1350,39340,36996,27434
"2351_00705",246,4712,5043,2752,2618,295,217,19110,16628,11876
"2351_00706",71,58,52,37,55,83,59,60,46,50
"2351_00707",2039,5090,6073,3188,3139,2941,2198,6112,6023,5344
"2351_00708",1486,3540,4107,2200,2148,1694,1405,3756,3518,2854
"2351_00709",574,626,805,670,666,760,516,936,877,807
"2351_00710",1299,701,804,687,673,1049,628,1069,775,759
"2351_00711",3314,2898,4200,2939,2649,3858,2702,5673,4427,4145
"2351_00712",4385,3117,3813,2453,2294,3651,2395,5404,3992,3760
"2351_00713",1303,1388,1544,1463,1449,1370,1248,1450,1066,1094
"2351_00714",109,64,80,58,47,86,68,103,72,66
"2351_00715",207,128,137,109,89,167,109,162,123,125
"2351_00716",6163,5640,7297,6544,6185,7851,6278,7585,6357,5769
"2351_00717",4251,4606,5529,4884,4779,5361,4527,5236,4726,4631
"2351_00718",822,877,1029,942,929,982,726,1003,895,859
"2351_00719",676,1112,1363,1492,1379,1079,1062,1343,1176,1069
"2351_00720",1635,2947,3597,3766,3633,2847,2526,3861,3437,3026
"2351_00721",3043,4614,5682,5629,5417,4801,4150,5692,5311,4667
"2351_00722",2506,2510,3263,2439,2318,3610,2789,3691,3458,2776
"2351_00723",8050,8657,11019,10317,10712,12816,10142,12022,10094,8554
"2351_00724",26680,29518,37625,35572,34448,38802,36691,37149,30029,26470
"2351_00725",729,786,1047,894,852,967,1079,1036,874,672
"2351_00726",16558,10145,11389,11253,10386,18380,13102,10715,10477,9551
"2351_00727",2849,2346,2672,2380,2241,3013,2339,2863,2346,2040
"2351_00728",16751,16773,19792,16135,16570,19854,16240,18820,14711,13586
"2351_00729",42,11,7,7,12,19,10,25,17,17
"2351_00730",626,493,620,512,462,821,625,576,451,456
"2351_00731",654,509,658,416,410,767,551,622,553,461
"2351_00732",1402,1075,1388,1148,1136,1789,1524,1616,1331,1077
"2351_00733",834,767,848,729,694,1070,997,953,763,645
"2351_00734",1813,1494,1730,1385,1297,2128,1828,1900,1593,1384
"2351_00735",3688,2284,2977,2218,1975,4039,3181,4761,3322,2637
"2351_00736",1274,736,922,497,489,851,522,1483,893,864
"2351_00737",816,479,648,385,372,713,372,1465,871,780
"2351_00738",811,511,470,456,483,781,597,1132,941,764
"2351_00739",1124,680,950,747,659,1187,931,999,840,713
"2351_00740",681,607,805,702,691,900,731,1024,886,746
"2351_00741",1596,1871,1988,1594,1606,1672,1373,1490,1388,1355
"2351_00742",211,240,402,377,377,334,260,470,389,416
"2351_00743",3809,3621,6048,5565,4354,4994,4365,8099,6911,5641
"2351_00744",5803,5610,9454,8840,6371,7336,6373,13897,11418,9537
"2351_00745",12788,9063,11266,7382,7006,14978,10680,13447,12474,10923
"2351_00746",2992,3025,3655,3158,3078,3727,3280,3485,2775,2549
"2351_00747",2088,1812,2327,1989,1870,2276,2205,2681,1986,1641
"2351_00748",2311,2067,2368,1899,1839,2265,2155,2504,2088,1882
"2351_00749",176,145,161,139,141,249,160,258,252,204
"2351_00750",195,149,142,112,115,179,141,195,171,142
"2351_00751",4592,2530,2347,1448,1509,3658,2641,2286,1444,1336
"2351_00752",2930,2608,3189,2897,2964,3475,2823,3357,3060,2654
"2351_00753",3626,3289,4358,3758,3558,4686,3689,3852,3961,3499
"2351_00754",2851,2368,2813,2326,2420,3212,2328,2685,2494,2283
"2351_00755",2345,1280,1198,1087,1221,1715,1166,1425,1236,1167
"2351_00756",2226,1336,1339,950,952,1675,1119,1083,888,815
"2351_00757",4821,4202,5546,4702,4540,6664,5177,6192,5170,4332
"2351_00758",17864,14513,17328,14169,13322,18792,15719,15177,12697,10865
"2351_00759",6173,4579,5107,3980,3828,5781,4589,4412,3661,3345
"2351_00760",353,327,262,230,230,456,375,115,131,100
"2351_00761",856,538,507,376,452,801,589,407,291,327
"2351_00762",460,303,424,250,261,421,298,357,271,234
"2351_00763",186,138,153,111,90,230,171,72,112,97
"2351_00764",965,1033,1044,770,740,1115,808,673,616,633
"2351_00765",10555,12211,11275,9594,9169,11435,7485,2093,3718,3682
"2351_00766",17798,17424,16521,13899,12898,18480,12621,2968,5150,5044
"2351_00767",5786,5500,4519,3258,2910,4839,3490,890,1598,1554
"2351_00768",7134,12500,14658,15321,16320,10915,9644,9987,11072,13041
"2351_00769",2841,3271,4082,4075,4199,3660,2853,3398,2954,2959
"2351_00770",95,122,128,94,100,107,86,66,58,56
"2351_00771",69676,79518,105176,109905,109983,96048,83647,103388,94047,89596
"2351_00772",1117,1307,1505,1009,1029,1508,1269,1600,1487,1389
"2351_00773",533,649,897,681,652,898,780,957,898,742
"2351_00774",3596,4612,5592,5193,5038,5928,5245,5664,5113,4627
"2351_00775",1436,2180,2575,2583,2294,2499,2302,1941,1694,1478
"2351_00776",5569,8370,10549,10421,9776,9792,9062,3992,3490,3042
"2351_00777",4440,3164,3616,2903,2669,4783,3685,3616,3110,2743
"2351_00778",2466,1958,2189,1807,1801,2985,2397,2366,1980,1769
"2351_00779",3737,3435,4533,3323,2953,5310,4282,4990,4530,3910
"2351_00780",6252,4346,5406,3880,3629,6925,5053,6094,5864,4885
"2351_00781",2906,3443,3849,3600,3827,3952,3351,3295,2853,2373
"2351_00782",3041,2904,3048,2851,2972,3180,2650,2455,2136,1968
"2351_00783",8828,6141,5795,5053,5063,5916,4840,4187,3449,3597
"2351_00784",45,33,48,19,35,46,30,14,32,29
"2351_00785",167,80,100,71,82,127,102,118,77,91
"2351_00786",104,49,39,34,37,62,46,43,35,42
"2351_00787",168,112,127,95,93,184,119,132,135,104
